ID,SKU,Name,Brand,Product Type,Model
5402,219-001-0840,Nidec UDMD-5R AG Oyako Gear Motor 3 Phase,Nidec,Motors,UDMD-5R
4206,004-001-0002,NKS Pressure Sensor Switch Gauge GC74-134-B5BXX,NKS,Gauges,GC74-134-B5BXX
20641,239-003-2103,NSK (repaired) Rodless Cylinder MY1H-Z25-50L,NSK,Cylinders,MY1H-Z25-50L
6358,2014-1-17,NTN Spherical Bearing 21313D1C3,NTN,Bearings,21313D1C3
1290,008-014-0080,Omron Limit Switch CA2-2N,Omron,Limit Switch,CA2-2N
1535,008-014-0178,Omron Limit Switch D4C-1303,Omron,Limit Switch,D4C-1303
15848,022-011-0096,Omron Proximity Sensor E2K-X15MY1,Omron,Proximity Sensor,E2K-X15MY1
20528,012-001-0043,Omron Counter Module H7CR-CWV,Omron,Counter Module,H7CR-CWV
20603,005-003-0015,Omron Timer H3Y-4,Omron,Timer,H3Y-4
43904,064-003-0077,Omron Relay G7J-4A-T-KM DC24,Omron,Relay,DC24
40681,MFG-000-2016,OPTIBELT-VB Belt 3V475,Optibelt,Belts,3V475
40682,MFG-000-2017,OPTIBELT-VB Belt 3V530,Optibelt,Belts,3V530
40685,MFG-000-2019,OPTIBELT-VB Belt B73,Optibelt,Belts,B73
40686,MFG-000-2020,OPTIBELT-VB Belt C85,Optibelt,Belts,C85
40693,MFG-000-2026,OPTIBELT-VB Belt 5VX1000,Optibelt,Belts,5VX1000
40694,MFG-000-2027,OPTIBELT-VB Belt B120,Optibelt,Belts,B120
40697,MFG-000-2030,OPTIBELT-VB Belt B73,Optibelt,Belts,B73
1282,019-002-0003,Oriental Motor 5GU6K Gear Head,Oriental Motor,Gear Heads,5GU6K
1285,018-002-0117,Oriental Motor 4GC30K,Oriental Motor,Motors,4GC30K
1288,019-001-0270,Oriental Motor 5IK90GS-ATF,Oriental Motor,Induction Motors,5IK90GS-ATF
1543,019-001-0616,Oriental Motor 6RK60RGK-CM,Oriental Motor,Motors,6RK60RGK-CM
5397,MFG-000-0249,Oriental Motor Co. PVC Cable LC1300BG,Oriental Motor,Cables,LC1300BG
4704,MFG-000-0193,Lumberg Automation Cable 4-643/5m,Lumberg,Cables,4-643
4722,022-038-0472,Panasonic NAIS Camera Cord ANM84002ACE,Panasonic,Camera Cord,ANM84002ACE
20672,021-005-0014,Endo Kogyo Spring Balancer 30-40kg ELF-40,Endo Kogyo,Spring Balancers,ELF-40
6376,MFG-000-0319,Showa Induction Motor M211E,Showa,Servo Motors,M211E
20553,014-001-0481,SKF Bearing KUG6002,SKF,Bearings,KUG6002
20587,009-400-0025,SKF Bearing 6007 2ZJEM,SKF,Bearings,2ZJEM
4720,022-038-0511,SMC Cable Assembly Cable AXT100-DS25-050,SMC,Cable Assembly,AXT100-DS25-050
5020,002-001-0145,SMC NVFS2300-5FZ Solenoid Valve,SMC,Solenoid Valve,NVFS2300-5FZ
5285,039-003-0888,SMC Air Cylinder CDG1BA50-25-H7BL,SMC,Air Cylinder,CDG1BA50-25-H7BL
5401,039-003-1539,SMC Air Cylinder CDLSF160-300-A54L-DA93L,SMC,Air Cylinder,CDLSF160-300-A54L-DA93L
5407,039-003-1366,SMC Air Cylinder ACNL-X2-63X1250-LB-M-A54L,SMC,Air Cylinder,ACNL-X2-63X1250-LB-M-A54L
6357,039-003-1677,SMC Air Cylinder ACNL-X2-50X345-FA-K-S,SMC,Air Cylinder,ACNL-X2-50X345-FA-K-S
6359,MFG-000-0314,SMC Rodless Cylinder MY1B40-586-Y7PV,SMC,Rodless Cylinder,MY1B40-586-Y7PV
6360,039-003-1903,SMC Air Cylinder ACNL-X2-40X600,SMC,Air Cylinder,ACNL-X2-40X600
6361,039-003-0101,SMC Air Cylinder ACNL-X2-50X54-M,SMC,Air Cylinder,ACNL-X2-50X54-M
6365,039-003-1373,SMC Rodless Cylinder CY1L40-A8810-400,SMC,Rodless Cylinder,CY1L40-A8810-400
20500,039-003-0682,SMC Rodless Cylinder Cylinder CY2B25H-200,SMC,Rodless Cylinder,CY2B25H-200
20501,039-006-0083,SMC Mounting Band Band 3E3-057,SMC,Mounting Band,3E3-057
20592,003-001-0251,SMC Precision Regulator AC40-04G,SMC,Precision Regulator,AC40-04G
20687,049-001-0363,Orion Filter RA-05,Orion,Filters,RA-05
20642,018-002-0071,Sumitomo SM-Cyclo Gear Box CNVMO24075-YBB11,Sumitomo,Gear Reducers,CNVMO24075-YBB11
4705,022-040-0035,SunX Bracket Mount MS-SFB-1-T,SunX,Mounts,MS-SFB-1-T
5287,039-003-1586,THK Slide Table KR45H10B 940LH0-1-60C,THK,Slide Table,940LH0-1-60C
40162,014-004-0111,THK Linear Guide Block SR20V2SSC+335L,THK,Linear Guide Block,335L
4231,202-015-0061,Tokimec Pilot Valve DG5V-H8-2A-U7-H-82-JA484,Tokimec,Valves,DG5V-H8-2A-U7-H-82-JA484
1229,002-014-0125,Toyo-oki HD3-3W-BGA-025A-LYD,Toyo-oki,Valves,HD3-3W-BGA-025A-LYD
4197,MFG-000-0169,Toyo-oki Solenoid Valve HD3-3W-BG1A-03A-LYD2,Toyo-oki,Valves,HD3-3W-BG1A-03A-LYD2
4232,002-014-0088,Toyo-oki Hytegra Valve HKF3HW-Y1-40K-025B,Toyo-oki,Valves,HKF3HW-Y1-40K-025B
20548,MFG-000-1704,Toyo-oki Valve 04Bl,Toyo-oki,Valves,04B
20549,MFG-000-1705,Toyo-oki Valve 05Bl,Toyo-oki,Valves,05B
20550,MFG-000-1706,Toyo-oki Valve 04Al,Toyo-oki,Valves,04A
20551,002-014-3124,Toyo-oki Valve 01Fl,Toyo-oki,Valves,01F
5283,044-001-0072,Tsubaki Torque Limiter TL500-1-9.5-28,Tsubaki,Torque Limiter,5-28
5290,000-001-0274,Tsubaki Flexible Coupling KK-422X25J,Tsubaki,Flexible Coupling,KK-422X25J
4193,MFG-000-0168,IKO Cam Follower J42-24R,IKO,Cam Followers,J42-24R
20643,022-038-0104,Denso Cable 8M 410141-0160,Denso,Cables,410141-0160
20644,022-038-0105,Denso Cable 8M 410141-0180,Denso,Cables,410141-0180
20709,043-002-0007,GP Reeves Grease Regulator GRP4100,GP Reeves,Grease Regulator,GRP4100
20710,022-012-0422,GP Reeves Grease Flow Sensor FS3009NPN,GP Reeves,Sensors,FS3009NPN
20605,051-001-0026,KYB Shock Absorber KBM7-15-6C,KYP,Shock Absorbers,KBM7-15-6C
1217,019-004-0053,Yaskawa AC Servo Motor SGM-04VW14-C,Yaskawa,Servo Motor,SGM-04VW14-C
40147,219-004-0177,Yaskawa Servo Motor SGM-04UW14-C,Yaskawa,Servo Motor,SGM-04UW14-C
