ID,SKU,OLD NAME,NEW NAME,Short description,Weight (lbs),Regular price,Brands,Attribute 1 name,Brand,Attribute 1 visible,Attribute 1 global,Attribute 2 name,Product Type,Attribute 2 visible,Attribute 2 global,Attribute 3 name,Model,Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s)
1442,004-003-0014,004-003-0014,Dwyer 605-6 Magnehelic Pressure Gauge,-,3,,Dwyer,Brand,Dwyer,1,1,Product Type,Magnehelic Pressure Gauge,1,1,Model,605-6,1,1,Location,2013c3_LC1
22622,005-001-0404,005-001-0404,Star Automation 350075 Circuit Board,-,1,,Star Automation,Brand,Star Automation,1,1,Product Type,Circuit Board,1,1,Model,350075,1,1,Location,2013c3_BOX
1327,005-003-0039,005-003-0039,Cramer 636WAA Hour Meter Counter,-,2,,Cramer,Brand,Cramer,1,1,Product Type,Hour Meter Counter,1,1,Model,636WAA,1,1,Location,2013C4_LC3
22721,005-004-0196,005-004-0196,KEB 04.92.010-9757 Power Supply,-,10,,KEB,Brand,KEB,1,1,Product Type,Power Supply,1,1,Model,04.92.010-9757,1,1,Location,2013c4_LC4
22722,005-004-0197,005-004-0197,KEB 02.92.010-9357 Power Supply,-,6,,KEB,Brand,KEB,1,1,Product Type,Power Supply,1,1,Model,02.92.010-9357,1,1,Location,2013C4_LC3
11975,005-004-0203,005-004-0203,Panasonic WV-MF200 Camera,-,,,Panasonic,Brand,Panasonic,1,1,Product Type,Camera,1,1,Model,WV-MF200,1,1,Location,2013c3_LC2
11197,005-004-0229,005-004-0229,Cosel P100E-24 Power Supply,-,3,,Cosel,Brand,Cosel,1,1,Product Type,Power Supply,1,1,Model,P100E-24,1,1,Location,2013c9_LC1
18156,005-004-0252,005-004-0252,Yaskawa JEPMC-PS210 PLC Power Supply Module,-,3,,Yaskawa,Brand,Yaskawa,1,1,Product Type,PLC Power Supply Module,1,1,Model,JEPMC-PS210,1,1,Location,2013C2_LC4
1382,005-004-0260,005-004-0260,TDK JWS150-12/A Power Supply,-,4,,TKD,Brand,TDK,1,1,Product Type,Power Supply,1,1,Model,JWS150-12/A,1,1,Location,2013c4_lc2
3819,005-004-0262,005-004-0262,Okaya SUP-J15H-ER-4 Noise Filter,-,3,,Okaya,Brand,Okaya,1,1,Product Type,Noise Filter,1,1,Model,SUP-J15H-ER-4,1,1,Location,2013C2_LC1
1342,005-004-0296,005-004-0296,TDK RWS15A-12/A Power Supply,-,4,,TDK,Brand,TDK,1,1,Product Type,Power Supply,1,1,Model,RWS15A-12/A,1,1,Location,2013c3_LC2
22724,005-004-0299,005-004-0299,CE Electronics SK75-2T 66517 TS-III BL QUALIFIER H298 Power Supply,-,10,,CE Electronics,Brand,CE Electronics,1,1,Product Type,Power Supply,1,1,Model,SK75-2T 66517 TS-III BL QUALIFIER H298,1,1,Location,2013c3_LC2
1454,005-004-0301,005-004-0301,Cosel PAA50F-24-N Power Supply,-,3,,Cosel,Brand,Cosel,1,1,Product Type,Power Supply,1,1,Model,PAA50F-24-N,1,1,Location,2013c3
1355,005-004-0429,005-004-0429,Mitsubishi MR-SC60 AC Servo Drive,-,6,,Mitsubishi,Brand,Mitsubishi,1,1,Product Type,AC Servo Drive,1,1,Model,MR-SC60,1,1,Location,2013c3_LC1
22686,005-005-0029,005-005-0029,Allen-Bradley 1771-OBN DC Output Module,-,2,,Allen-Bradley,Brand,Allen-Bradley,1,1,Product Type,DC Output Module,1,1,Model,1771-OBN,1,1,Location,2013c4_LC4
1358,005-005-0143,005-005-0143,Mitsubishi AX41C PLC Module,-,4,,Mitsubishi,Brand,Mitsubishi,1,1,Product Type,PLC Module,1,1,Model,AX41C,1,1,Location,2013C4_LC3
19505,005-005-0148,005-005-0148,Yaskawa JAMSC-120DD035410 PLC Output Module,-,4,,Yaskawa,Brand,Yaskawa,1,1,Product Type,PLC Output Module,1,1,Model,JAMSC-120DD035410,1,1,Location,2013c4_lc2
22685,005-005-0164,005-005-0164,Allen-Bradley 1791-32B0 I/O Module,-,2,,Allen-Bradley,Brand,Allen-Bradley,1,1,Product Type,I/O Module,1,1,Model,1791-32B0,1,1,Location,2013c4_LC4
1541,005-005-0166,005-005-0166,Mitsubishi AX40Y50C PLC Module,-,4,,Mitsubishi,Brand,Mitsubishi,1,1,Product Type,PLC Module,1,1,Model,AX40Y50C,1,1,Location,2013c3_LC1
11824,005-005-0315,005-005-0315,Mitsubishi A1SX40 PLC Input Module,-,2,,Mitsubishi,Brand,Mitsubishi,1,1,Product Type,PLC Input Module,1,1,Model,A1SX40,1,1,Location,2013c10_LC2
4673,005-005-0470,005-005-0470,Omron K3FM-CA-52-R CT Transmitter,-,1,,Omron,Brand,Omron,1,1,Product Type,CT Transmitter,1,1,Model,K3FM-CA-52-R,1,1,Location,2013C4_LC1
1373,005-005-0471,005-005-0471,Mitsubishi A273-UH-CPU Motion Controller,-,4,,Mitsubishi,Brand,Mitsubishi,1,1,Product Type,Motion Controller,1,1,Model,A273-UH-CPU,1,1,Location,2013C2_LC4
11898,005-005-0523,005-005-0523,Trans-Coil KLC8B KLC Output Filter,-,9,,Trans-Coil,Brand,Trans-Coil,1,1,Product Type,KLC Output Filter,1,1,Model,KLC8B,1,1,Location,2013c5_LC4
4692,005-016-0018,005-016-0018,Temposonics GPM006-OUD60 Linear Transducer,-,2,,Temposonics,Brand,Temposonics,1,1,Product Type,Linear Transducer,1,1,Model,GPM006-OUD60,1,1,Location,2013C4_LC1
1371,005-025-0028,005-025-0028,Mitsubishi A956GOT-SBD-M3 Operator Interface,-,6,,Mitsubishi,Brand,Mitsubishi,1,1,Product Type,Operator Interface,1,1,Model,A956GOT-SBD-M3,1,1,Location,2013c3_LC1
22617,005-026-0030,005-026-0030,Cognex 805-0006-1 Vision Sensor System Camera,-,5,,Cognex,Brand,Cognex,1,1,Product Type,Vision Sensor System Camera,1,1,Model,805-0006-1,1,1,Location,2013C2_LC1
1574,005-032-0001,005-032-0001,Escort Memory Systems RS427-03 RFID Reader,-,1,,Escort Memory Systems,Brand,Escort Memory Systems,1,1,Product Type,RFID Reader,1,1,Model,RS427-03,1,1,Location,2013C4_LC3
4688,005-032-0002,005-032-0002,Escort Memory Systems CM1746 Reader Module,-,1,,Escort Memory Systems,Brand,Escort Memory Systems,1,1,Product Type,Reader Module,1,1,Model,CM1746,1,1,Location,2013c4_LC4
1444,006-004-0031,006-004-0031,Perkin Elmer N2920149 Deuterium Detector Lamp,-,3,,Perkin Elmer,Brand,Perkin Elmer,1,1,Product Type,Deuterium Detector Lamp,1,1,Model,N2920149,1,1,Location,2013C4_LC3
1269,006-007-0031,006-007-0031,Patlite SZ-30T Mounting Pole with Base,-,4,,Patlite,Brand,Patlite,1,1,Product Type,Mounting Pole with Base,1,1,Model,SZ-30T,1,1,Location,2013c3_LC1
1403,008-003-0101,008-003-0101,IFM SI1000 Flow Sensor,-,2,,IFM,Brand,IFM,1,1,Product Type,Flow Sensor,1,1,Model,SI1000,1,1,Location,2013c4_LC4
22729,008-003-0126,008-003-0126,SMC ISE1-01-55L Pressure Switch,-,1,,SMC,Brand,SMC,1,1,Product Type,Pressure Switch,1,1,Model,ISE1-01-55L,1,1,Location,2013c4_LC4
22856,008-003-0149,008-003-0149,SunX DP-2-22 Digital Pressure Sensor,-,1,,SunX,Brand,SunX,1,1,Product Type,Digital Pressure Sensor,1,1,Model,DP-2-22,1,1,Location,2013c4_lc2
4668,008-003-0159,008-003-0159,Parker SCPSD-250-04-07 Pressure Controller,-,1,,Parker,Brand,Parker,1,1,Product Type,Pressure Controller,1,1,Model,SCPSD-250-04-07,1,1,Location,2013C4_LC3
22707,008-005-0006,008-005-0006,Omron E3S-R2B4 Photoelectric Switch,-,1,,Omron,Brand,Omron,1,1,Product Type,Photoelectric Switch,1,1,Model,E3S-R2B4,1,1,Location,2013c4_lc2
1440,008-005-0012,008-005-0012,Omron E3S5B4 Photoelectric Switch,-,2,,Omron,Brand,Omron,1,1,Product Type,Photoelectric Switch,1,1,Model,E3S5B4,1,1,Location,2013c4_lc2
4674,008-005-0027,008-005-0027,Banner SM312CV2 Photoelectric Switch,-,1,,Banner,Brand,Banner,1,1,Product Type,Photoelectric Switch,1,1,Model,SM312CV2,1,1,Location,2013C4_LC1
1587,008-005-0041,008-005-0041,Omron E3X-A41 Photoelectric Sensor,-,1,,Omron,Brand,Omron,1,1,Product Type,Photoelectric Sensor,1,1,Model,E3X-A41,1,1,Location,2013c4_lc2
8568,008-005-0065,008-005-0065,Omron E3R-5E4 Photoelectric Sensor,-,2,,Omron,Brand,Omron,1,1,Product Type,Photoelectric Sensor,1,1,Model,E3R-5E4,1,1,Location,2013c4_lc2
1565,008-005-0110,008-005-0110,IFM OU5001 OUF-HPKG Fiber-optic Amplifier,-,1,,IFM,Brand,IFM,1,1,Product Type,Fiber-optic Amplifier,1,1,Model,OU5001 OUF-HPKG,1,1,Location,2013C4_LC3
1400,008-005-0127,008-005-0127,IFM OU5044 Fiber-optic Amplifier,-,2,,IFM,Brand,IFM,1,1,Product Type,Fiber-optic Amplifier,1,1,Model,OU5044,1,1,Location,2013c4_lc2
22705,008-005-0163,008-005-0163,IFM OU5036 Retro-reflective sensor,-,1,,IFM,Brand,IFM,1,1,Product Type,Retro-reflective sensor,1,1,Model,OU5036,1,1,Location,2013c4_lc2
1404,008-005-0272,008-005-0272,IFM OI0009 Retro-reflective sensor,-,2,,IFM,Brand,IFM,1,1,Product Type,Retro-reflective sensor,1,1,Model,OI0009,1,1,Location,2013c4_lc2
1600,008-005-0315,008-005-0315,Keyence CZ-K1P Sensor Amplifier,-,1,,Keyence,Brand,Keyence,1,1,Product Type,Sensor Amplifier,1,1,Model,CZ-K1P,1,1,Location,2013C4_LC1
3782,008-030-0065,008-030-0065,Keyence FU-77TG Fiber Thrubeam Cable,-,1,,Keyence,Brand,Keyence,1,1,Product Type,Fiber Thrubeam Cable,1,1,Model,FU-77TG,1,1,Location,2013C2_LC1
11883,012-001-0015,012-001-0015,Omron H7AN-W4DMAC100240 Digital Preset Counter,-,4,,Omron,Brand,Omron,1,1,Product Type,Digital Preset Counter,1,1,Model,H7AN-W4DMAC100240,1,1,Location,2013c5_LC3
4683,013-001-0491,013-001-0491,Paletti SL0680S Tooth Belt Guide,-,7,,Paletti,Brand,Paletti,1,1,Product Type,Tooth Belt Guide,1,1,Model,SL0680S,1,1,Location,2013c4_lc2
11919,014-003-0021,014-003-0021,Browning VF2S-224 Mounted Bearing Unit,-,5,,Browning,Brand,Browning,1,1,Product Type,Mounted Bearing Unit,1,1,Model,VF2S-224,1,1,Location,2013c5_LC4
11925,014-003-0115,014-003-0115,Link-Belt FU343 Flange-Mount Ball Bearing Unit,-,35,,Link-Belt,Brand,Link-Belt,1,1,Product Type,Flange-Mount Ball Bearing Unit,1,1,Model,FU343,1,1,Location,2013C5_LC6
11941,014-004-0157,014-004-0157,THK HSR45B1SS Linear Motion Guide Block,-,9,,THK,Brand,THK,1,1,Product Type,Linear Motion Guide Block,1,1,Model,HSR45B1SS,1,1,Location,2013c5_LC5
11900,014-004-0477,014-004-0477,THK SHS20V2SSC1+390L Caged-ball Linear Motion Guide Rail,-,3,,THK,Brand,THK,1,1,Product Type,Caged-ball Linear Motion Guide Rail,1,1,Model,SHS20V2SSC1+390L,1,1,Location,2013C4_LC1
11844,014-011-0109,014-011-0109,THK BTK2005-2.6ZZ+550LTL Rolled Ball Screw Assembly,-,7,,THK,Brand,THK,1,1,Product Type,Rolled Ball Screw Assembly,1,1,Model,BTK2005-2.6ZZ+550LTL,1,1,Location,2013c5_LC2
11846,014-011-0486,014-011-0486,THK BTK2806-5.3ZZ+361.5 Rolled Ball Screw Assembly,-,8,,THK,Brand,THK,1,1,Product Type,Rolled Ball Screw Assembly,1,1,Model,BTK2806-5.3ZZ+361.5,1,1,Location,2013c5_LC2
11849,014-011-0491,014-011-0491,THK BTK2005-2.6ZZ+500LC7 Rolled Ball Screw Assembly,-,7,,THK,Brand,THK,1,1,Product Type,Rolled Ball Screw Assembly,1,1,Model,BTK2005-2.6ZZ+500LC7,1,1,Location,2013c5_LC2
11893,015-001-0225,015-001-0225,Tsubaki C-2062H RF2060-R Industrial Roller Chain,-,17,,Tsubaki,Brand,Tsubaki,1,1,Product Type,Industrial Roller Chain,1,1,Model,C-2062H RF2060-R,1,1,Location,2013c5_LC4
11926,018-001-0017,018-001-0017,Dodge MR96103KDD Tigear Reducer,-,18,,Dodge,Brand,Dodge,1,1,Product Type,Tigear Reducer,1,1,Model,MR96103KDD,1,1,Location,2013C5_LC6
11915,018-001-0042,018-001-0042,Oriental Motor 4GN60K Parallel Shaft Gearhead,-,3,,Oriental Motor,Brand,Oriental Motor,1,1,Product Type,Parallel Shaft Gearhead,1,1,Model,4GN60K,1,1,Location,2013c5_LC1
11912,018-001-0057,018-001-0057,Dodge MR94751L1 Tigear Right-Angle Worm Gear Reducer,-,28,,Dodge,Brand,Dodge,1,1,Product Type,Tigear Right-Angle Worm Gear Reducer,1,1,Model,MR94751L1,1,1,Location,2013c5
11930,018-001-0082,018-001-0082,Motovari NMRV050 Right-Angle Worm Gear Reducer,-,10,,Motovari,Brand,Motovari,1,1,Product Type,Right-Angle Worm Gear Reducer,1,1,Model,NMRV050,1,1,Location,2013C5_LC6
11927,018-002-0109,018-002-0109,Bosch Rexroth AG 3842519005 Gearbox (Speed Reducer),-,22,,Bosch Rexroth AG,Brand,Bosch Rexroth AG,1,1,Product Type,Gearbox (Speed Reducer),1,1,Model,3842519005,1,1,Location,2013C5_LC6
5074,019-001-0147,019-001-0147,Baldor M3559T Electric Motor,-,45,,Baldor,Brand,Baldor,1,1,Product Type,Electric Motor,1,1,Model,M3559T,1,1,Location,2013c6
22691,019-001-0516,019-001-0516,A.O. Smith HF3H078N Single-Phase AC Induction Blower Motor,-,20,,A.O. Smith,Brand,A.O. Smith,1,1,Product Type,Single-Phase AC Induction Blower Motor,1,1,Model,HF3H078N,1,1,Location,2013c6
1287,019-001-0606,019-001-0606,Oriental Motor 4IK25GN-SM Brake Motor,-,8,,Oriental Motor,Brand,Oriental Motor,1,1,Product Type,Brake Motor,1,1,Model,4IK25GN-SM,1,1,Location,2013c6_LC2
5018,019-001-0787,019-001-0787,Denso 4106260300 Motor,-,1,,Denso,Brand,Denso,1,1,Product Type,Motor,1,1,Model,4106260300,1,1,Location,2013C6_LC4
22692,019-001-0835,019-001-0835,Oriental Motor 4I25GN-AUL Motor,-,5,,Oriental Motor,Brand,Oriental Motor,1,1,Product Type,Motor,1,1,Model,4I25GN-AUL,1,1,Location,2013C6_LC4
5028,019-004-0022,019-004-0022,Denso MFA020LB2NSJ Motor,-,7,,Denso,Brand,Denso,1,1,Product Type,Motor,1,1,Model,MFA020LB2NSJ,1,1,Location,2013c6_LC2
1448,019-004-0029,019-004-0029,Denso 4106220701 Servo Motor,-,6,,Denso,Brand,Denso,1,1,Product Type,Servo Motor,1,1,Model,4106220701,1,1,Location,2013c6_LC2
5071,019-004-0033,019-004-0033,Sanyo Dennki R406011E Servo Motor,-,11,,Sanyo Denki,Brand,Sanyo Dennki,1,1,Product Type,Servo Motor,1,1,Model,R406011E,1,1,Location,2013C6_LC1
5030,019-004-0045,019-004-0045,Sanyo Dennki R850012WLO Servo Motor,-,11,,Sanyo Denki,Brand,Sanyo Dennki,1,1,Product Type,Servo Motor,1,1,Model,R850012WLO,1,1,Location,2013c6_LC2
1213,019-004-0048,019-004-0048,Yaskawa SGM02UW14E Servo Motor,-,10,,Yaskawa,Brand,Yaskawa,1,1,Product Type,Servo Motor,1,1,Model,SGM02UW14E,1,1,Location,2013c6_LC2
1431,022-001-0007,022-001-0007,Fuji Electric BU3EHC015L Circuit Breaker,-,3,,Fuji Electric,Brand,Fuji Electric,1,1,Product Type,Circuit Breaker,1,1,Model,BU3EHC015L,1,1,Location,2013c7
21317,022-001-0080,022-001-0080,Fuji Electric BU3FHC125L Circuit Breaker,-,12,,Fuji Electric,Brand,Fuji Electric,1,1,Product Type,Circuit Breaker,1,1,Model,BU3FHC125L,1,1,Location,2013c7
21323,022-001-0115,022-001-0115,Fuji Electric BU3EHC030LF6 Circuit Breaker,-,6,,Fuji Electric,Brand,Fuji Electric,1,1,Product Type,Circuit Breaker,1,1,Model,BU3EHC030LF6,1,1,Location,2013c7
5606,022-001-0137,022-001-0137,Fuji Electric SA33B Circuit Breaker,-,2,,Fuji Electric,Brand,Fuji Electric,1,1,Product Type,Circuit Breaker,1,1,Model,SA33B,1,1,Location,2013c7_LC1
1474,022-001-0139,022-001-0139,Allen-Bradley G150 Motor Controller,-,4,,Allen-Bradley,Brand,Allen-Bradley,1,1,Product Type,Motor Controller,1,1,Model,G150,1,1,Location,2013c7_LC3
21307,022-001-0192,022-001-0192,Idec NRAS2111F Circuit Breaker,-,2,,Idec,Brand,Idec,1,1,Product Type,Circuit Breaker,1,1,Model,NRAS2111F,1,1,Location,2013c7_LC3
21301,022-001-0749,022-001-0749,Fuji Electric EA33BB3AEA020 Circuit Breaker,-,2,,Fuji Electric,Brand,Fuji Electric,1,1,Product Type,Circuit Breaker,1,1,Model,EA33BB3AEA020,1,1,Location,2013c7_LC3
21322,022-001-0765,022-001-0765,Fuji Electric BU3EHC030Y1 Circuit Breaker,-,6,,Fuji Electric,Brand,Fuji Electric,1,1,Product Type,Circuit Breaker,1,1,Model,BU3EHC030Y1,1,1,Location,2013c7
1422,022-007-0213,022-007-0213,Fuji Electric TKON4NK0AM Relay,-,1,,Fuji Electric,Brand,Fuji Electric,1,1,Product Type,Relay,1,1,Model,TKON4NK0AM,1,1,Location,2013c7_LC3
5583,022-009-0003,022-009-0003,Telemecanique LC1D25FE7 Contactor,-,1,,Telemecanique,Brand,Telemecanique,1,1,Product Type,Contactor,1,1,Model,LC1D25FE7,1,1,Location,2013c7_LC3
5591,022-011-0083,022-011-0083,Omron E2EX1R5E1M1N Sensor,-,2,,Omron,Brand,Omron,1,1,Product Type,Sensor,1,1,Model,E2EX1R5E1M1N,1,1,Location,2013c7_LC1
1406,022-011-0084,022-011-0084,IFM IG5717 Sensor,-,2,,IFM,Brand,IFM,1,1,Product Type,Sensor,1,1,Model,IG5717,1,1,Location,2013c7_LC2
1300,022-011-0109,022-011-0109,Omron - Sensor,-,2,,Omron,Brand,Omron,1,1,Product Type,Sensor,1,1,Model,-,1,1,Location,2013c4_lc2
1605,022-011-0293,022-011-0293,IFM IE5082 Sensor,-,1,,IFM,Brand,IFM,1,1,Product Type,Sensor,1,1,Model,IE5082,1,1,Location,2013c7_LC1
21319,022-012-0209,022-012-0209,Sunx SF1- NSP Sensor,-,2,,Sunx,Brand,Sunx,1,1,Product Type,Sensor,1,1,Model,SF1- NSP,1,1,Location,2013c7_LC2
1392,022-012-0376,022-012-0376,Keyence GV-H130 Sensor,-,2,,Keyence,Brand,Keyence,1,1,Product Type,Sensor,1,1,Model,GV-H130,1,1,Location,2013c4_lc2
1446,022-038-0216,022-038-0216,Denso 4101410310 Cable,-,3,,Denso,Brand,Denso,1,1,Product Type,Cable,1,1,Model,4101410310,1,1,Location,2013c7
1291,022-038-0530,022-038-0530,Omron V600-HS63 Sensor,-,2,,Omron,Brand,Omron,1,1,Product Type,Sensor,1,1,Model,V600-HS63,1,1,Location,2013c7_LC1
1398,022-066-0026,022-066-0026,IFM OU5043 Sensor,-,2,,IFM,Brand,IFM,1,1,Product Type,Sensor,1,1,Model,OU5043,1,1,Location,2013c8_LC1
