Brand,Stock,Model,Other ID Info,Product Type,Engine Model,Emissions Tier,Voltage,Configuration,Approx. Weight,Condition,What It Goes To,Who Would Buy It,Tips When Listing or Sourcing
Diesel Radiator Co.,5,A064T786,"CPP P/N A064T785, SN: W19909.3",Radiator Assembly,Likely QSB or QSL,—,—,Horizontal,~110–120 lbs,New (passed pressure test @ 18 PSI),Cummins Power Products generator or cooling package,"Genset rebuilders, Cummins service shops",Verify core size; use with 47–50 kW range gensets
Cummins Power Products,1,A065P185,Fits 11DC or 30CE,Radiator,11DC / 30CE gensets,Tier 3 or Tier 4,—,—,~95–105 lbs,New (boxed),Cooling unit for small to mid-range diesel gensets (likely 30–50 kW),"Dealers, diesel repair facilities","Label with genset compatibility, HS code 8419.50.5000"
Cummins,12,A049J483‑1SY,SN: 21120865867,T4 FAX SCR TLA SISO H,FAX-series,Tier 4 Final,—,SISO H (Horizontal),~110–120 lbs,New (boxed),SCR module for Tier 4 Final Cummins FAX engines (SCR-only system),"Emissions service shops, equipment OEMs",Label as “SCR-only”; HS code: 8421.39.8015
Cummins,279,A048Y166‑10,MP363011 / MF921 / MPT363011,Tier 4 SB 3.3 DOC+Muffler (SISO L/H),QSB3.3,Tier 4 Final,—,SISO L/H,~65–75 lbs,New (boxed),DOC + muffler system for compact Tier 4 Final Cummins-powered equipment,"Small diesel repair shops, OEMs",Label as Tier 4 DOC; verify L/H (left-hand) configuration
Cummins,43,A044Y646‑10,SN: 22020212615,T4 MRF TLA QSL SCR SISO,QSL9,Tier 4 Final,—,SISO,~115–125 lbs,New (boxed),"SCR module for Cummins QSL9-based Tier 4 Final gensets (e.g., 24NG, 11HD, 25ND)","Equipment distributors, genset OEMs","Label as SCR module, HS code: 8421.39.8015"
WPT (likely),22,WTD-13-130 H,Serial: W2229881206,"13"" Mechanical Power Take-Off",N/A,—,—,"SAE #3, side-load",~160–180 lbs (est.),New (boxed),"Diesel engines on gensets, pumps, industrial drives (SAE 3 bell housing mount)","Industrial service depots, OEM rebuilders",Confirm gear ratio; label as “clutch PTO”; HS code 8483.10
Cummins,20,A043A478‑10,MO-6712854 / MPT495773,T4 MRF TLA QSL DOC SISO 12V,QSL9,Tier 4 Final,12V,SISO,~95–105 lbs,New (boxed),Diesel oxidation catalyst system for Tier 4 QSL9 gensets or equipment,"Emissions techs, genset rebuilders",Label as DOC unit; include 12V electrical integration details
Cummins,1,A044Y648-10,SN: 190327565597,T4 MRF SCR TLA QSL SISO H,QSL9,Tier 4 Final,—,SISO (Horizontal),~120–130 lbs,New (boxed),SCR module for Cummins QSL9 Tier 4 Final gensets/equipment,"Emissions service shops, equipment OEMs",HS code 8421.39.8015; include part number & orientation
Cummins,1,A052S027-10,SN: 21113057199,T4 MRF SCR Horizontal TLA QSB SISO 24,QSB6.7,Tier 4 Final,—,SISO (Horizontal),~125–135 lbs,New (boxed),SCR module for Cummins QSB Tier 4 Final gensets/equipment,"Emissions service shops, equipment OEMs",HS code 8421.39.8015; list as horizontal SCR; note 24 designation
Cummins,1,A052S106-10,Label: MAINLINE | Date: 2/27/2024,T4 MRF SCR TLA MAINLINE,Likely QSB6.7 or QSL9,Tier 4 Final,—,SISO (Horizontal),~125–135 lbs,New (boxed),Mainline SCR module for Cummins Tier 4 Final gensets/equipment,"Emissions service shops, generator OEMs",HS code 8421.39.8015; label “MAINLINE” and part number; verify engine match
Cummins,1,A044X577-10,SN: 23031309159 | Date: 4/4/2024,T4 HDF DPF QSX,QSX15,Tier 4 Final,—,SISO (Vertical),~165–175 lbs,New (boxed),DPF for Cummins QSX15 Tier 4 Final gensets/equipment,"Emissions service shops, heavy equipment OEMs",HS code 8421.39.8015; include part number and DPF type
Cummins,1,A048C940-10,T4HDFMDRT TLA,T4 HDF Module Retrofit TLA,—,Tier 4 Final,—,SISO (Retrofit),~120–130 lbs,New (boxed),"Replacement SCR retrofit module, Tier 4 applications","Fleet retrofit programs, diesel compliance services",Mark clearly as retrofit; HS code 8421.39.8015
Cummins,1,A049Y746-10,SN: 23012764628,T4 HDF SCR TLA QSX SIEO,QSX15,Tier 4 Final,—,SIEO,~125–135 lbs,New (boxed),SCR module for Cummins QSX Tier 4 Final gensets/equipment,"Emissions service shops, equipment OEMs",HS code 8421.39.8015; mark as SIEO
Cummins,1,A043A405-10,QTY: ONE | HOLD LABEL (E&O),Unknown - held for E&O (Engineering & Operations),—,—,—,—,—,New (boxed) - On Hold,Unknown,Internal use or pending approval,Do not list until confirmed; marked E&O Hold
Fleetguard,4,AH55508VE,FLTGR | USA,"Cleaner, Air Direct Flow",—,—,—,—,~20–25 lbs,New (boxed),Air intake for on-road/off-road diesel equipment,"Fleet maintenance shops, engine OEMs","Include 'AH55508VE', Fleetguard brand; HS code 8421.31.0000"
Fleetguard,3,AH55666VEJX,30FC / 31FD / 31FE,"Cleaner, Air",—,—,—,—,~25–30 lbs,New (boxed),Air cleaner for 30FC / 31FD / 31FE applications,"Industrial parts distributors, heavy equipment repair",List compatible models (30FC/31FD/31FE); HS code 8421.31.0000
Fleetguard,5,AH55544VEJX,WO-365703 | LPN C000453383,"Filter, Air Direct Flow",—,—,—,—,~20–25 lbs,New (boxed),Direct flow air filter system for diesel applications,"Parts warehouses, industrial resellers",Include LPN/WO if relevant; HS code 8421.31.0000
Cummins,2,A049J789-1SY,SN: 18111681881,T4-FAX SCR TLA SISO,QSB6.7,Tier 4 Final,12V,SISO (Horizontal),~120–130 lbs,New (boxed),Aftertreatment for QSB Tier 4 Final gensets/equipment,"Emissions service shops, equipment OEMs",HS code 8421.39.8015; use 'SCR SISO 12V'; include 11HC/19IB/21KE in description
Cummins,3,A052S109-10,SN: 21041035297,T4 MRF SCR Horizontal TLA QSL SISO 24V,QSL9,Tier 4 Final,24V,SISO (Horizontal),~125–135 lbs,New (boxed),SCR module for Cummins QSL9 Tier 4 Final gensets,"Emissions service shops, equipment OEMs","HS code 8421.39.8015; note 24V rating, TLA horizontal config"
Cummins,2,A052U226-10,SN: 22061746377,T4 LTE SCR TLA Horizontal QSB SISO 24V,QSB6.7,Tier 4 Final,24V,SISO (Horizontal),~125–135 lbs,New (boxed),SCR unit for Cummins QSB Tier 4 Final gensets,"Emissions service shops, OEMs, part resellers",Tag with QSB + LTE; HS 8421.39.8015
Cummins,4,A052U147-10,SN: 22060632310,T4 LTE SCR Horizontal TLA QSB SISO 12,QSB6.7,Tier 4 Final,12V,SISO (Horizontal),~120–130 lbs,New (boxed),SCR module for Tier 4 QSB gensets,"Emissions shops, dealers, exporters",List 12V + QSB + horizontal clearly; HS 8421.39.8015
