ID,SKU,Name,Regular price,Brand,Product Type,Model
16914,022-001-0751,Fuji Electric Breaker SA53C/15,,Fuji Electric,Breaker,SA53C/15
18101,008-006-0021,Fuji Electric Switch AR30PR-322B,,Fuji Electric,Switch,AR30PR-322B
22639,031-001-0659,Fuji Electric Controllers RYE.10S,,Fuji Electric,Controllers,RYE.10S
13802,014-013-0003,FYH Bearing UC213AMI,,FYH,Bearing,UC213AMI
18102,014-003-0008,FYH Bearing UCF-209-E,,FYH,Bearing,UCF-209-E
39354,061-001-0306,KHK Gear M-1122887-061,,KHK,Gear,M-1122887-061
39346,061-001-0304,KHK Gear M-11228887-011,,KHK,Gear,M-11228887-011
18103,008-015-0009,GEMS Level Switch LS-19735,,GEMS,Level Switch,LS-19735
16922,019-001-0454,Grundfos Motor VM3613T-P,,Grundfos,Motor,VM3613T-P
13800,014-013-0023,Fafnir Bearing GVFTD1,,Fafnir,Bearing,GVFTD1
37685,236-505-0018,Harmonic Drive - CSF-25-50-2UH,,Harmonic Drive,-,CSF-25-50-2UH
16884,013-003-0269,Habasit Conveyor Belt HATP-8P 30MMx370MM,,Habasit,Conveyor Belt,HATP-8P 30MMx370MM
16885,013-003-0829,Habasit Conveyor Belt HATP-8P 30MMx370MM,,Habasit,Conveyor Belt,HATP-8P 30MMx370MM
16909,022-012-0001,Honeywell Minipeeper Ultraviolet Flame Detector C7027A,,Honeywell,Minipeeper Ultraviolet Flame Detector,C7027A
16569,MFG-000-1453,Honeywell Photoelectric Sensor FE-MLS5RB,,Honeywell,Photoelectric Sensor,FE-MLS5RB
22764,005-001-0271,Honeywell Purge Timer ST7800 A 1104,,Honeywell,Purge Timer,ST7800 A 1104
18107,002-034-0004,Honeywell Gas Valve V5055C1059,,Honeywell,Gas Valve,V5055C1059
18171,005-003-0012,IDEC Electronic Timer GT5Y-4SN,,IDEC,Electronic Timer,GT5Y-4SN
16598,019-002-0114,IDEC - VRSF-5E-4000,,IDEC,-,VRSF-5E-4000
16892,022-012-0371,IFM Flow Monitor SD6101,,IFM,Flow Monitor,SD6101
17410,022-011-0276,IFM Inductive Sensor IF5863,,IFM,Inductive Sensor,IF5863
17409,022-011-0259,IFM Proximity Switch IW5058,,IFM,Proximity Switch,IW5058
18172,002-001-0499,IHI Valve U-12R,,IHI,Valve,U-12R
16889,014-004-0699,IKO Linear Bearing LRXDG20C1-T1HS2,,IKO,Linear Bearing,LRXDG20C1-T1HS2
16890,014-004-0574,IKO Linear Bearing LRXDG20C1R200+T1HE,,IKO,Linear Bearing,LRXDG20C1R200+T1HE
1325,002-004-0079,Jamesbury Ball Valve 21-1136TTC061,,Jamesbury,Ball Valve,21-1136TTC061
16912,022-012-0296,Keyence Inductive Guaging Sensor EX-200,,Keyence,Inductive Guaging Sensor,EX-200
22845,022-012-0490,Keyence Vision Sensor IV-500CA,,Keyence,Vision Sensor,IV-500CA
1391,005-004-0282,Keyence Power Supply MS-H50,,Keyence,Power Supply,MS-H50
16915,022-012-0230,Keyence Safety Light Curtain PJ-V22R | PJ-V22T,,Keyence,Safety Light Curtain,PJ-V22R | PJ-V22T
22660,061-001-0305,KHK Gear M-1122887-021,,KHK,Gear,M-1122887-021
22661,061-001-0307,KHK Gear -,,KHK,Gear,-
18109,008-002-0122,Koganei Auto Switch CS9HA,,Koganei,Auto Switch,CS9HA
18174,008-003-0072,Kosmek Pressure Switch JB2800-M0,,Kosmek,Pressure Switch,JB2800-M0
13805,014-024-0001,Koyo Bearing 6410,,Koyo,Bearing,6410
39217,019-001-0355,Leeson Motor C42P17FZ1B,,Leeson,Motor,C42P17FZ1B
16899,004-002-0060,- Level Gauge 81021-9,,-,Level Gauge,81021-9
16906,022-012-0307,Banner Light Sensor LX12ESRQ,,Banner,Light Sensor,LX12ESRQ
18176,002-038-0030,MAC Valve 35A-SAC-RA11,,MAC,Valve,35A-SAC-RA11
18110,004-001-0126,"Marsh Bellofram Gauge J6218 30""",,Marsh Bellofram,Gauge,"J6218 30"""
18111,005-026-0019,Pentax Lens ANB845NL,,Pentax,Lens,ANB845NL
1378,005-026-0018,NAiS Camera ANM830CE,,NAiS,Camera,ANM830CE
18112,013-001-0428,Super Torque Belt 250-S8M-880,,Super Torque,Belt,250-S8M-880
18113,013-001-0429,Super Torque Belt -,,Super Torque,Belt,-
1353,005-005-0189,Mitsubishi Module MELSEC A1SD70,,Mitsubishi,Module,MELSEC A1SD70
1374,005-005-0187,Mitsubishi Module MELSEC A1SX42-S2,,Mitsubishi,Module,MELSEC A1SX42-S2
10432,019-004-0225,Yaskawa Motor SGMGH-06A2B2E,,Yaskawa,Motor,SGMGH-06A2B2E
1329,005-005-0144,Mitsubishi Module MELSEC AY51C,,Mitsubishi,Module,MELSEC AY51C
39216,019-004-0155,Mitsubishi Motor HA-FF43B,,Mitsubishi,Motor,HA-FF43B
39214,019-001-0563,Mitsubishi Motor HA-SA52,,Mitsubishi,Motor,HA-SA52
39345,076-910-0035,- Coupling MJC-57-19X24-TB,,-,Coupling,MJC-57-19X24-TB
18179,013-003-0241,"Mol Belting Co. Belt 2AR2-0G-U-27""W-37'-11""L",,Mol Belting Co.,Belt,"2AR2-0G-U-27""W-37'-11""L"
18183,013-003-0831,Mol Belting Co. Belt 2AR10OGU,,Mol Belting Co.,Belt,2AR10OGU
17399,013-003-0883,Mol Belting Co. Belt 2AR210BG-U-5P,,Mol Belting Co.,Belt,2AR210BG-U-5P
18180,013-003-0256,Mol Belting Co. Belt 2AR2OGULACED1712X248,,Mol Belting Co.,Belt,2AR2OGULACED1712X248
18181,013-003-0245,"Mol Belting Co. Belt 2AR2-0W-UX19""WX-15""-7""L",,Mol Belting Co.,Belt,"2AR2-0W-UX19""WX-15""-7""L"
18182,013-003-0834,Mol Belting Co. Belt 2ROO390WX1880L,,Mol Belting Co.,Belt,2ROO390WX1880L
1347,014-001-0529,Nachi Bearing 6216-2NSL,,Nachi,Bearing,6216-2NSL
22669,022-063-0017,Nemicon Generator OVM-0025-2AZ1-34E,,Nemicon,Generator,OVM-0025-2AZ1-34E
1307,005-012-0030,Nikon Rotary Encoder EJA03204/RD2048,,Nikon,Rotary Encoder,EJA03204/RD2048
13813,014-005-0106,Nippon Washer GS3052,,Nippon,Washer,GS3052
13812,014-012-0022,Nippon Bearing TA252OZ,,Nippon,Bearing,TA252OZ
13811,014-012-0141,Nippon Bearing TAFI61612,,Nippon,Bearing,TAFI61612
18187,004-001-0120,Nisshin - 7911389,,Nisshin,-,7911389
22766,MFG-000-1864,Omron Control NSJ5-SQ00-M3D,,Omron,Control,NSJ5-SQ00-M3D
18116,014-001-0106,Koyo Bearing 6008 2RSC3 SKF,,Koyo,Bearing,6008 2RSC3 SKF
16903,014-001-0431,NTN Bearing 7302C-DF-GNP4,,NTN,Bearing,7302C-DF-GNP4
13814,014-007-0030,NTN Pillow Block ASPFL206,,NTN,Pillow Block,ASPFL206
18188,008-005-0028,Omron Photoelectric Switch E3E2-3L,,Omron,Photoelectric Switch,E3E2-3L
18117,008-005-0075,Omron Photoelectric Switch E3S-2E41,,Omron,Photoelectric Switch,E3S-2E41
18118,008-005-0011,Omron Photoelectric Switch E3S-5E4,,Omron,Photoelectric Switch,E3S-5E4
18119,005-003-0027,Omron Timer H3CR-H8L,,Omron,Timer,H3CR-H8L
22854,MFG-000-1910,Oriental Motor Motor 51K40GN-SWT2S,,Oriental Motor,Motor,51K40GN-SWT2S
37679,005-001-0007,- Board P1DA,,-,Board,P1DA
18124,003-001-0103,Schrader Bellows Lubricator Filter 14L10GASB,,Schrader Bellows,Lubricator Filter,14L10GASB
37680,005-001-0091,Raytron Tension Control Board 236,,Raytron,Tension Control Board,236
39336,039-004-0026,- Repair Kit HYP505H,,-,Repair Kit,HYP505H
13823,014-007-0060,Rexnord Link-Belt Bearing P3-U215N,,Rexnord,Link-Belt Bearing,P3-U215N
22640,031-001-0840,RTA Interface Converter NWRE,,RTA,Interface Converter,NWRE
