ID,SKU,Name,Short description,Weight (lbs),Regular price,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Brand,Attribute 3 name,Product Type,Attribute 4 name,Model,Attribute 5 name,Attribute 5 value(s)
39222,463-532-0005,Harness H-532-01 DN HVAC,Do not post,1,,Location,2015c2_LC4,Brand,-,Product Type,Harness,Model,-,eBay ID,
39220,463-532-0004,Harness H-532-05,Do not post,1,,Location,2015c2_LC4,Brand,-,Product Type,Harness,Model,-,eBay ID,
39231,463-532-0001,Harness H-532-53,Do not post,1,,Location,2015C2_LC6,Brand,-,Product Type,Harness,Model,-,eBay ID,
39236,463-532-0617,Harness H-532-57,Do not post,1,,Location,2015C2_LC7,Brand,-,Product Type,Harness,Model,-,eBay ID,
39235,463-532-0019,Harness H-532-64,Do not post,1,,Location,2015C2_LC7,Brand,-,Product Type,Harness,Model,-,eBay ID,
39233,463-576-0006,Harness H-676-04,Do not post,1,,Location,2015C2_LC7,Brand,-,Product Type,Harness,Model,-,eBay ID,
39234,463-676-0004,Harness H-676-05,Do not post,1,,Location,2015C2_LC7,Brand,-,Product Type,Harness,Model,-,eBay ID,
39237,463-676-0005,Harness H-676-06,Do not post,1,,Location,2015C2_LC7,Brand,-,Product Type,Harness,Model,-,eBay ID,
39219,017-006-0012,Hose KPM16F62M551-03,-,1,0,Location,2015s3,Brand,Allen-Bradley,Product Type,-,Model,-,eBay ID,
39226,014-011-0500,Product,,1,0,Location,2015c2_LC4,Brand,Allen-Bradley,Product Type,-,Model,-,eBay ID,
39243,036-615-0047,Product,,1,0,Location,2015C5_B2,Brand,ASCO,Product Type,-,Model,-,eBay ID,
39278,036-615-0095,Product,,1,0,Location,2015C5_B2,Brand,-,Product Type,-,Model,-,eBay ID,
39279,036-615-0052,Product,,1,0,Location,2015C5_B2,Brand,-,Product Type,-,Model,-,eBay ID,
39280,036-615-0051,Product,,1,0,Location,2015C5_B2,Brand,Keyence,Product Type,-,Model,-,eBay ID,
39282,036-615-0061,Product,,1,0,Location,2015C5_B2,Brand,KURODA,Product Type,-,Model,-,eBay ID,
39283,036-615-0057,Product,,1,0,Location,2015C5_B2,Brand,Tokimec,Product Type,-,Model,-,eBay ID,
39302,036-615-0098,Product,,1,0,Location,2015C5_B2,Brand,Allen-Bradley,Product Type,-,Model,-,eBay ID,
39306,422-615-0204,Product,,1,0,Location,2015C5_B2,Brand,AVALON,Product Type,-,Model,-,eBay ID,
39310,MFG-000-2012,Product,,1,0,Location,2015c6,Brand,-,Product Type,-,Model,-,eBay ID,
16921,022-012-0210,SunX SF1-N-40 Emitter &amp; Receiver,174203304950,4,850,Location,"2013c7, 2015c5",Brand,Allen-Bradley,Product Type,Light Curtains,Model,SF1-N-40,eBay ID,174203304950
39323,426-730-0005,Product,,1,0,Location,2015C6_LC3,Brand,WIKA,Product Type,-,Model,-,eBay ID,
39325,418-615-0003,Product,,1,0,Location,2015C6_LC3,Brand,FYH,Product Type,-,Model,-,eBay ID,
39347,036-615-0087,Product,,1,0,Location,2015C6_LC4,Brand,SINFONIA,Product Type,-,Model,-,eBay ID,
13809,031-001-0702,Misumi Control DNIP-2000MR-ML-MOLES,174203304499,40,800,Location,2015c2,Brand,Allen-Bradley,Product Type,Controllers,Model,DNIP-2000MR-ML-MOLES,eBay ID,174203304499
43977,054-001-0096,Product,,1,0,Location,2015C5_LC6,Brand,Keyence,Product Type,-,Model,-,eBay ID,
18093,005-005-0502,Cognex DVT CIO-1400,173958350258,1,755,Location,2015c1_LC2,Brand,IFM Electronic,Product Type,Modules,Model,CIO1400,eBay ID,173958350258
16874,022-012-0356,Banner Light Curtain Receiver SLSR-14-750Q8,174003796892,4,750,Location,2015c5,Brand,ASCO,Product Type,"Lights, Safety Light Curtains",Model,SLSR-14-750Q8,eBay ID,174003796892
43958,068-626-0090,Receiver M-2820732-070,Do not post,1,0,Location,2015C5_LC6,Brand,-,Product Type,-,Model,-,eBay ID,
39336,039-004-0026,Repair Kit HYP505H Assembly B,-,1,,Location,2015c6,Brand,-,Product Type,-,Model,-,eBay ID,
43983,040-400-0109,Roller (Lower) 15-33,Do not post,1,,Location,2015C5_LC6,Brand,LIMITRON,Product Type,-,Model,-,eBay ID,
39343,076-910-0005,Roller 21-18,Do not post,1,,Location,2015C6_LC4,Brand,-,Product Type,-,Model,-,eBay ID,
13794,022-039-0163,7435,Do not post,3,700,Location,2015c2_LC1,Brand,-,Product Type,-,Model,7435,eBay ID,Do not post
39344,036-500-0008,Roller 21-23,Do not post,1,,Location,2015C6_LC4,Brand,TACO,Product Type,-,Model,-,eBay ID,
43986,040-505-0010,Roller 25-143,Do not post,1,,Location,2015C5_LC6,Brand,Banner,Product Type,-,Model,-,eBay ID,
18229,011-870-0007,201468A Cap,Do not post,1,680,Location,2015c1_LC1,Brand,-,Product Type,Cap,Model,201468A,eBay ID,Do not post
43935,077-408-0002,Roller 50-8M,Do not post,1,,Location,2015C5_LC6,Brand,ASCO,Product Type,-,Model,-,eBay ID,
17405,017-058-0002,Hopper Body MVH-20,Do not post,21,650,Location,2015c3,Brand,ASCO,Product Type,Hopper body,Model,MVH-20,eBay ID,Do not post
39330,036-615-0084,Roller Assy M615-2-5-06,Do not post,1,,Location,2015C6_LC3,Brand,Toshiba,Product Type,-,Model,-,eBay ID,
39348,MFG-000-2013,Sanki 21-52B,Do not post,1,,Location,2015C6_LC4,Brand,TACO,Product Type,-,Model,-,eBay ID,
43946,068-625-0007,SANKI Block M-2820525,Do not post,1,,Location,2015C5_LC6,Brand,SIGMATEK,Product Type,-,Model,-,eBay ID,
18238,004-002-0054,GDS40SG1 Flow Meter,Do not post,15,584,Location,2015c1,Brand,NIDEC,Product Type,Flow Controls,Model,GDS40SG1,eBay ID,Do not post
43929,068-626-0074,SANKI Joint M-2820215-163,Do not post,1,,Location,2015C5_LC6,Brand,ASCO,Product Type,-,Model,-,eBay ID,
39218,219-004-0011,Servo Motor GRK2200K-T,-,,0,Location,2015s3,Brand,Keyence,Product Type,-,Model,-,eBay ID,
13795,468-562-0001,Connector 39900-002,Do not post,1,555,Location,2015c5_LC2,Brand,ASCO,Product Type,Connectors,Model,39900-002,eBay ID,Do not post
39215,019-001-0562,Servo Motor HA-SA152LY,-,,0,Location,2015s3,Brand,Allen-Bradley,Product Type,-,Model,-,eBay ID,
37681,019-004-0248,Servo Motor SGMAH-08A1AJ12C,-,,0,Location,2015c3,Brand,ASCO,Product Type,-,Model,-,eBay ID,
37683,219-004-0248,Servo Motor SGMAH-08A1AJ12C,-,,0,Location,2015c3,Brand,Keyence,Product Type,-,Model,-,eBay ID,
39357,014-004-0482,THK Linear Brg SRS15WGMSSC1+750LM,-,1,0,Location,2015c2_LC4,Brand,VARIAN,Product Type,-,Model,-,eBay ID,
39356,014-004-0531,THK Linear Brg SRS15WGMSSC1+790LM,-,1,0,Location,2015c2_LC4,Brand,Patlite,Product Type,-,Model,-,eBay ID,
39223,463-532-0024,Tz3 Ext Harness H-532-TZ3,-,1,0,Location,2015c2_LC4,Brand,Allen-Bradley,Product Type,-,Model,-,eBay ID,
39230,MFG-000-2010,X272 Rear Blower Harness H-532,-,1,0,Location,2015C2_LC6,Brand,Allen-Bradley,Product Type,-,Model,-,eBay ID,
39229,MFG-000-2009,X272/X222 Auto Harness H-532,-,1,0,Location,2015C2_LC5,Brand,Allen-Bradley,Product Type,-,Model,-,eBay ID,
13787,MFG-000-1170,BOARD D-339-000 Repaired,Do not post,3,450,Location,2015c5_LC2,Brand,Allen-Bradley,Product Type,Circuit Boards,Model,D-339-000,eBay ID,Do not post
39322,429-730-0003,Y Branch HM-S0-14-005-04,-,1,0,Location,2015C6_LC3,Brand,-,Product Type,-,Model,-,eBay ID,
39314,013-007-0030,Bestorq BX47 Belt,-,1,7,Location,2015c6,Brand,Bestorq,Product Type,BELT,Model,BX47,eBay ID,
39312,013-002-0084,B47 Belt,-,1,10,Location,2015c6,Brand,-,Product Type,BELT,Model,B47,eBay ID,
39311,013-002-0188,BX49 Belt,-,1,10,Location,2015c6,Brand,-,Product Type,BELT,Model,BX49,eBay ID,
18187,004-001-0120,Nisshin 7911389,-,2,10.99,Location,2015c1_LC5,Brand,Nisshin,Product Type,-,Model,7911389,eBay ID,
18147,003-025-0022,SMC ZPT10DU-A5,-,1,11,Location,2015c1_LC6,Brand,SMC,Product Type,-,Model,ZPT10DU-A5,eBay ID,
18149,003-015-0108,Swagelok B-810-3TMT,-,2,11,Location,2015c1_LC4,Brand,Swagelok,Product Type,-,Model,B-810-3TMT,eBay ID,
18199,005-026-0011,Toshiba JKL24M2,173958350909,1,350,Location,2015c1_LC4,Brand,VARIAN,Product Type,Lens,Model,JKL24M2,eBay ID,173958350909
18148,011-001-0180,Stokes Vacuum Connector 900-315-009,Do not post,20,350,Location,2015c1,Brand,-,Product Type,Connectors,Model,900-315-009,eBay ID,Do not post
18087,005-005-0428,Allen-Bradley 1756-N2/B,-,1,12,Location,2015c1_LC1,Brand,Allen-Bradley,Product Type,-,Model,1756-N2/B,eBay ID,
13813,014-005-0106,Nippon GS3052,-,1,12,Location,2015c2_LC1,Brand,Nippon,Product Type,-,Model,GS3052,eBay ID,
16899,004-002-0060,Level Gauge 81021-9,-,1,13,Location,2015c5,Brand,Allen-Bradley,Product Type,Gauges,Model,81021-9,eBay ID,-
13811,014-012-0141,Nippon TAFI61612 Bearing,-,1,13,Location,2015c5_LC2,Brand,Nippon,Product Type,Bearing,Model,TAFI61612,eBay ID,
18144,002-016-0003,SMC VVFS2000-R-01-1,-,2,13,Location,2015c1_LC5,Brand,SMC,Product Type,-,Model,VVFS2000-R-01-1,eBay ID,
18110,004-001-0126,Marsh Bellofram J6218,-,2,14,Location,2015c1_LC5,Brand,Marsh Bellofram,Product Type,-,Model,J6218,eBay ID,
18096,002-015-0033,Eaton Corporation Vickers DG4V 3S 8C V M FW H5 61,173958351939,6,300,Location,2015c1_LC4,Brand,SIGMATEK,Product Type,Valves,Model,DG4V3S8CVMFWH561,eBay ID,173958351939
16901,205-020-0004,Pendant 410100-0450 w/repair report,174003797266,9,300,Location,2015c5,Brand,Allen-Bradley,Product Type,-,Model,410100-0450,eBay ID,174003797266
13828,039-003-3511,SMC NCMB075-0300,-,2,15,Location,2015c2_LC2,Brand,SMC,Product Type,-,Model,NCMB075-0300,eBay ID,
16887,003-002-0034,SMC ZZM-SA,-,1,15,Location,2015c5,Brand,SMC,Product Type,-,Model,ZZM-SA,eBay ID,
13812,014-012-0022,Nippon TA252OZ,-,1,17,Location,2015c2_LC1,Brand,Nippon,Product Type,-,Model,TA252OZ,eBay ID,
22660,061-001-0305,KHK M-1122887-021 Gear,-,7,20,Location,2015c6_LC1,Brand,KHK,Product Type,GEAR,Model,M-1122887-021,eBay ID,
22661,061-001-0307,KHK N Gear,-,7,20,Location,2015c6_LC1,Brand,KHK,Product Type,GEAR,Model,N,eBay ID,
17393,002-007-0382,SMC VVQ4000-R-1-03,-,3,20,Location,2015c3_LC1,Brand,SMC,Product Type,-,Model,VVQ4000-R-1-03,eBay ID,
18109,008-002-0122,Koganei CS9HA,-,1,21,Location,2015c1_LC4,Brand,Koganei,Product Type,-,Model,CS9HA,eBay ID,
18125,003-025-0005,Parker Schrader Bellows PFTS10A4NBR,-,1,24,Location,2015c1_LC5,Brand,Parker Schrader Bellows,Product Type,-,Model,PFTS10A4NBR,eBay ID,
16579,MFG-000-1462,ASCO Redhat Rebuild Kit 100424,-,2,25,Location,2015c5_LC3,Brand,ASCO,Product Type,-,Model,-,eBay ID,
13782,014-004-0634,ASK LCF20AVUU Bushing,-,3,25,Location,2015c2_LC2,Brand,ASK,Product Type,BUSHING,Model,LCF20AVUU,eBay ID,
1289,019-001-0961,Oriental Motor BHI62ST-G2,173352215078,8,277,Location,2015c1,Brand,ASCO,Product Type,"Induction Motors, Motors",Model,BHI62STG2,eBay ID,173352215078
18176,002-038-0030,Mac 35ASACRA11,-,1,25,Location,2015c1_LC6,Brand,MAC,Product Type,-,Model,35ASACRA11,eBay ID,
17413,039-003-0340,SMC CDJP2816-20D,-,4,25,Location,2015c3_LC1,Brand,SMC,Product Type,-,Model,CDJP2816-20D,eBay ID,
16895,008-003-0221,Kosmek JBA2700-0GC,174003797070,2,250,Location,2015c5,Brand,ASCO,Product Type,"Sensors, Switches",Model,JBA2700-0GC,eBay ID,174003797070
19511,020-325-0001,Irie Koken VP1100B,Do not post,9,250,Location,2015c5,Brand,ASCO,Product Type,-,Model,VP1100B,eBay ID,Do not post
17414,039-003-0828,SMC CDQ2B25-10DCZ,-,3,25,Location,2015c3_LC1,Brand,SMC,Product Type,-,Model,CDQ2B25-10DCZ,eBay ID,
22604,022-046-0003,Sylvania QTP2X32T8/UNVISNSCB,-,3,25,Location,2015c6_LC1,Brand,Sylvania,Product Type,-,Model,QTP2X32T8/UNVISNSCB,eBay ID,
18116,014-001-0106,NSK 6008VV,-,1,27,Location,2015c1_LC8,Brand,NSK,Product Type,-,Model,6008VV,eBay ID,
18171,005-003-0012,IDEC GT5Y4SN,-,2,29,Location,2015c1_LC7,Brand,IDEC,Product Type,-,Model,GT5Y4SN,eBay ID,
22712,005-026-0060,VS Technology SV-GA305 Photographic Accessories,-,1,30,Location,2015c6_LC2,Brand,VS Technology,Product Type,Photographic Accessories,Model,SV-GA305,eBay ID,
18200,005-026-0010,Toshiba JKL15M,173958349042,1,245,Location,2015c1_LC4,Brand,ASCO,Product Type,Lens,Model,JKL15M,eBay ID,173958349042
18220,011-870-0006,201467 Clamp Mount,Do not post,2,241,Location,2015c1_LC5,Brand,Allen-Bradley,Product Type,Clamps,Model,201467,eBay ID,Do not post
16884,013-003-0269,HAT8P Conveyor Belt,-,2,35,Location,2015c5,Brand,-,Product Type,CONVEYOR BELT,Model,HAT8P,eBay ID,
13806,005-026-0034,Lens SV-1214MP-SS,Do not post,1,230,Location,2015c5_LC2,Brand,Allen-Bradley,Product Type,-,Model,SV-1214MP-SS,eBay ID,Do not post
18091,008-003-0070,BARKSDALE C9622-3,Do not post,5,230,Location,2015c1_LC5,Brand,ASCO,Product Type,"Pressure Switches, Switches",Model,C96223,eBay ID,Do not post
16929,068-720-0032,R720-40-39R,Do not post,2,230,Location,2015c5_LC5,Brand,-,Product Type,-,Model,R720-40-39R,eBay ID,Do not post
18124,003-001-0103,Parker Schrader Bellows 14L10GA,-,2,35,Location,2015c1_LC1,Brand,Parker Schrader Bellows,Product Type,-,Model,14L10GA,eBay ID,
18203,006-006-0014,Waldman Lighting 112081000,173958352600,6,224,Location,2015c1,Brand,SKF,Product Type,Lights,Model,112081000,eBay ID,173958352600
18230,013-001-0436,100L608EF Belt,Do not post,3,224,Location,2015c1_LC3,Brand,-,Product Type,BELT,Model,100L608EF,eBay ID,Do not post
18130,003-028-0008,SMC C1A63-02-46683AS,-,2,35,Location,2015c1_LC3,Brand,SMC,Product Type,-,Model,C1A63-02-46683AS,eBay ID,
18169,005-026-0025,Fujinon LNSHF25HAI25,173958345464,1,222,Location,2015c1_LC4,Brand,Keyence,Product Type,Cameras,Model,LNSHF25HAI25,eBay ID,173958345464
22679,014-004-0461,THK SHS15R1SSC1 Linear Bearing,-,2,35,Location,2015c6_LC2,Brand,Allen-Bradley,Product Type,-,Model,-,eBay ID,
39247,039-003-0005,SMC CDU25-15D Cylinder,-,1,36.13,Location,2015C5_B2,Brand,SMC,Product Type,CYLINDER,Model,CDU25-15D,eBay ID,
16891,012-004-0016,Hokuyo AC-NKBA5,174003797423,2,219,Location,2015c5,Brand,ASCO,Product Type,-,Model,AC-NKBA5,eBay ID,174003797423
16908,022-007-0244,SH04.22A Relay,-,2,37,Location,2015c5_LC4,Brand,-,Product Type,-,Model,SH04.22A,eBay ID,
18168,003-004-0090,Festo 7558KSV8,-,3,38,Location,2015c1_LC5,Brand,Festo,Product Type,-,Model,7558KSV8,eBay ID,
18112,013-001-0428,Megadyne 250S8M880,-,2,38,Location,2015c1_LC3,Brand,Megadyne,Product Type,-,Model,250S8M880,eBay ID,
18113,013-001-0429,Megadyne 250S8M960,-,2,40,Location,2015c1_LC3,Brand,Megadyne,Product Type,-,Model,250S8M960,eBay ID,
17395,003-003-0028,SMC JB63-10-150,-,2,40,Location,2015c3_LC1,Brand,SMC,Product Type,-,Model,JB63-10-150,eBay ID,
18153,005-026-0014,TOSHIBA JK-L75M,173958349879,1,195,Location,2015c1_LC4,Brand,PRAXAIR,Product Type,Lens,Model,JKL75M,eBay ID,173958349879
13829,068-526-0010,SMC US13228,-,1,42,Location,2015c5_LC2,Brand,SMC,Product Type,-,Model,US13228,eBay ID,
39245,039-003-1029,SMC MHKL2-25D Gripper,-,1,44.99,Location,2015C5_B2,Brand,SMC,Product Type,GRIPPER,Model,MHKL2-25D,eBay ID,
22764,005-001-0271,Honeywell ST7800 Timer,-,1,46,Location,2015c6_LC2,Brand,Honeywell,Product Type,Timer,Model,ST7800,eBay ID,
18194,002-001-0464,SMC VX3244,-,3,49,Location,2015c1_LC7,Brand,SMC,Product Type,-,Model,VX3244,eBay ID,
17410,022-011-0276,IFM IF5863,-,2,50,Location,2015c3_LC1,Brand,IFM,Product Type,-,Model,IF5863,eBay ID,
18127,003-006-0006,SMC AS2201F-02-04S,-,1,50,Location,2015c1_LC8,Brand,SMC,Product Type,-,Model,AS2201F-02-04S,eBay ID,
17417,039-003-3515,SMC CDQ2B32-60DCMZ-XB10,-,4,50,Location,2015c3_LC1,Brand,SMC,Product Type,-,Model,-,eBay ID,
16904,008-003-0209,SMC ISE30A-01-P-MLA1 Switch,-,2,50,Location,2015c5_LC4,Brand,SMC,Product Type,Switch,Model,ISE30A-01-P-MLA1,eBay ID,
17397,005-026-0041,Azumi Camera Adaptor DC-700,173958349372,5,180,Location,2015c3_LC1,Brand,Allen-Bradley,Product Type,Camera Adapter,Model,DC-700,eBay ID,173958349372
13833,022-011-0243,SWITCH P-18566-000,Do not post,1,180,Location,2015c5_LC2,Brand,Allen-Bradley,Product Type,Switches,Model,P-18566-000,eBay ID,Do not post
13783,014-011-0415,53-26 Ballscrew,Do not post,2,180,Location,2015c2_LC1,Brand,-,Product Type,BALLSCREW,Model,53-26,eBay ID,Do not post
18138,003-007-0048,SMC KTAR6000,-,1,50,Location,2015c1_LC8,Brand,SMC,Product Type,-,Model,KTAR6000,eBay ID,
19510,039-003-3034,SMC SKB83X160-DB-M,-,18,50,Location,2015c5_LC1,Brand,SMC,Product Type,-,Model,SKB83X160-DB-M,eBay ID,
1416,MFG-000-0050,Honeywell C437H 1001 Gas/Air Pressure Switch,173352285841,6,178,Location,2015c1,Brand,Keyence,Product Type,Switches,Model,C437H1001,eBay ID,173352285841
18192,008-003-0145,SMC IS3000-N02L5,-,3,52,Location,2015c1_LC5,Brand,SMC,Product Type,-,Model,IS3000-N02L5,eBay ID,
18151,014-004-0268,THK HSR15B1SS,-,2,52,Location,2015c1_LC7,Brand,THK,Product Type,-,Model,HSR15B1SS,eBay ID,
18095,005-004-0263,Cosel LCA10S-24,-,2,54,Location,2015c1_LC6,Brand,Cosel,Product Type,-,Model,LCA10S-24,eBay ID,
17415,039-003-1054,SMC RSDQA40-20TK,-,5,55,Location,2015c3_LC1,Brand,SMC,Product Type,-,Model,RSDQA40-20TK,eBay ID,
18102,014-003-0008,FYH UCF-209-E,-,5,57,Location,2015c1_LC7,Brand,FYH,Product Type,-,Model,UCF-209-E,eBay ID,
18145,002-007-0194,SMC VZ51405DZ02,-,2,58,Location,2015c1_LC6,Brand,SMC,Product Type,-,Model,VZ51405DZ02,eBay ID,
17398,008-028-0045,Safety Plug 22806,-,2,60,Location,2015c3_LC2,Brand,Safety Plug,Product Type,-,Model,22806,eBay ID,
18132,003-003-0224,SMC JAF63-18-150,-,3,60,Location,2015c1_LC8,Brand,SMC,Product Type,-,Model,JAF63-18-150,eBay ID,
22672,041-001-0114,Youngblood 1340866 Heater Band,-,3,60,Location,2015c6_LC2,Brand,Youngblood,Product Type,Heater Band,Model,1340866,eBay ID,
13814,014-007-0030,NTN ASPFL206 Pillow Block,-,3,62,Location,2015c2_LC3,Brand,NTN,Product Type,Pillow Block,Model,ASPFL206,eBay ID,
13815,022-011-0179,E2E-X3T1-1 Switch,-,2,65,Location,2015c2_LC1,Brand,-,Product Type,Switch,Model,E2E-X3T1-1,eBay ID,
39221,014-018-0012,THK LBS30UU+975,-,6,65.16,Location,2015c2_LC4,Brand,THK,Product Type,-,Model,LBS30UU+975,eBay ID,
18108,002-015-0031,Toyo-Oki Valve AD04101B,174203304719,15,150,Location,2015c1,Brand,WORKSMAN,Product Type,Valves,Model,AD04101B,eBay ID,174203304719
22613,022-038-0030,CCXC-12P10 Cable,Do not post,5,150,Location,2015c6_LC2,Brand,ASCO,Product Type,Cables,Model,CCXC-12P10,eBay ID,Do not post
18154,002-014-0010,Toyo-oki HD3-2WD-BCA-025A-LYD2,-,6,67,Location,2015c1_LC2,Brand,Toyo-oki,Product Type,-,Model,HD3-2WD-BCA-025A-LYD2,eBay ID,
39232,014-004-744,THK HSR25LR1SS Linear Guide Block,-,2,71.09,Location,2015C2_LC7,Brand,THK,Product Type,Linear Guide Block,Model,HSR25LR1SS,eBay ID,
7707,002-001-0427,VX2340V-03N-5DZ1-B,-,2,71.37,Location,2015C5_LC6,Brand,-,Product Type,-,Model,VX2340V-03N-5DZ1-B,eBay ID,
18224,009-500-0010,M3870196080 Gear,Do not post,3,149,Location,2015c1_LC6,Brand,ASCO,Product Type,Gears,Model,M3870196080,eBay ID,Do not post
39332,039-093-0338,SMC CDQ2B63-10DMZ Cylinder,-,1,73.03,Location,2015C6_LC3,Brand,SMC,Product Type,CYLINDER,Model,CDQ2B63-10DMZ,eBay ID,
16597,022-011-0281,IFM IF5792,-,2,75,Location,2015c5_LC4,Brand,IFM,Product Type,-,Model,IF5792,eBay ID,
13803,462-574-0003,HOLDER JX-121-06B,Do not post,1,132,Location,2015c5_LC2,Brand,ASCO,Product Type,Holders,Model,JX-121-06B,eBay ID,Do not post
18090,003-001-0062,ASCO 34203057,-,3,79,Location,2015c1_LC6,Brand,ASCO,Product Type,-,Model,34203057,eBay ID,
13826,039-003-1528,SMC RSDQA50-30T-XC18,-,5,79,Location,2015c2_LC2,Brand,SMC,Product Type,-,Model,RSDQA50-30T-XC18,eBay ID,
17409,022-011-0259,IFM IW5058,-,2,80,Location,2015c3_LC1,Brand,IFM,Product Type,-,Model,IW5058,eBay ID,
16885,013-003-0829,HATP8P Conveyor Belt,-,2,85,Location,2015c5,Brand,-,Product Type,CONVEYOR BELT,Model,HATP8P,eBay ID,
18162,002-039-0064,ASCO 302373,-,2,90,Location,2015c1_LC4,Brand,ASCO,Product Type,-,Model,302373,eBay ID,
18235,013-003-0841,FNI5E Conv Belt,Do not post,3,127,Location,2015c1,Brand,FREELIN-WADE,Product Type,Belts,Model,FNI5E,eBay ID,Do not post
16886,068-720-0008,R720-35-18 Plate,Do not post,2,125,Location,2015c5_LC5,Brand,-,Product Type,PLATE,Model,R720-35-18,eBay ID,Do not post
18139,039-003-0461,SMC MCN2-40X100-FA,-,5,90,Location,2015c1_LC7,Brand,SMC,Product Type,-,Model,MCN2-40X100-FA,eBay ID,
17394,003-001-0259,SMC NARB250-N0-P-1,-,5,90,Location,2015c3_LC2,Brand,SMC,Product Type,-,Model,NARB250-N0-P-1,eBay ID,
39240,039-003-1334,SMC CDM2B25-350-X142US Cylinder,-,1,91.66,Location,2015C5_B2,Brand,SMC,Product Type,CYLINDER,Model,CDM2B25-350-X142US,eBay ID,
13836,068-731-0001,UJD-046 Torch,-,2,99,Location,2015c5_LC2,Brand,-,Product Type,Torch,Model,UJD-046,eBay ID,
16913,022-011-0382,Allen-Bradley 871C-DH4M12-A2 Switch,-,2,100,Location,2015c5_LC4,Brand,Allen-Bradley,Product Type,Switch,Model,871C-DH4M12-A2,eBay ID,
22652,MFG-000-1842,D4GS-N4R-3 Switch,-,3,100,Location,2015c6_LC2,Brand,-,Product Type,Switch,Model,D4GS-N4R-3,eBay ID,
1325,002-004-0079,Jamesbury 21-1136TTC061 Ball Valve,-,4,100,Location,2015c1_LC4,Brand,Jamesbury,Product Type,BALL VALVE,Model,21-1136TTC061,eBay ID,
17399,013-003-0883,Mol Belting Co. 2AR210BG-U-5P,-,8,100,Location,2015c3,Brand,Mol Belting Co.,Product Type,-,Model,2AR210BG-U-5P,eBay ID,
18208,003-001-0184,SMC Combo Modular AC30-NO3DG-3Z,-,3,100,Location,2015c1_LC2,Brand,SMC,Product Type,-,Model,-,eBay ID,
17412,022-038-1061,Turck R5C12T-5,-,2,100,Location,2015c3_LC1,Brand,Turck,Product Type,-,Model,R5C12T-5,eBay ID,
1606,MFG-000-0129,VAC Switch,-,1,100,Location,2015c1_LC1,Brand,-,Product Type,Switch,Model,VAC,eBay ID,
13823,014-007-0060,Rexnord P3-U215N Bearing,-,4,103,Location,2015c2_LC1,Brand,Rexnord,Product Type,Bearing,Model,P3-U215N,eBay ID,
39239,039-003-1544,SMC CDQ2B80-50DMZ Cylinder,-,1,103.26,Location,2015C5_B2,Brand,SMC,Product Type,CYLINDER,Model,CDQ2B80-50DMZ,eBay ID,
1391,005-004-0282,Keyence MS-H50 Switch,-,2,105,Location,2015c1_LC3,Brand,Keyence,Product Type,Switch,Model,MS-H50,eBay ID,
