ID,SKU,Name before fix,Name via Formula,Weight (lbs),Regular price,Brand,Product Type,Model
18160,002-012-0012,Apollo 80PM419 Valve,Apollo Valve 80PM419,3,,Apollo,Valve,80PM419
16899,004-002-0060,Level Gauge 81021-9,Level Gauge 81021-9,1,,-,Level Gauge,81021-9
22851,002-007-0225,ASCO Redhat Solenoid Valve 8210G34,ASCO Valve 8210G34,4,,ASCO,Valve,8210G34
16573,MFG-000-1457,ASCO 8262G130T Valve,ASCO Valve 8262G130T,2,,ASCO,Valve,8262G130T
16583,MFG-000-1465,ASCO Redhat Valve 8262G78,ASCO Valve 8262G78,3,,ASCO,Valve,8262G78
16585,MFG-000-1467,ASCO Redhat Solenoid Valve 8263G210W,ASCO Solenoid Valve 8263G210W,2,,ASCO,Solenoid Valve,8263G210W
16580,MFG-000-1463,ASCO 8345E11 Valve,ASCO Valve 8345E11,2,,ASCO,Valve,8345E11
16913,022-011-0382,Allen-Bradley 871C-DH4M12-A2 Switch,Allen-Bradley Switch 871C-DH4M12-A2,2,,Allen-Bradley,Switch,871C-DH4M12-A2
43964,068-514-0008,Drive Shaft 95M03M4A-03,WORKSMAN Shaft 95M03M4A-03,,,WORKSMAN,Shaft,95M03M4A-03
13837,005-026-0046,Toshiba AC-M412W Camera Adapter,Toshiba AC Adapter AC-M412W,4,,Toshiba,AC Adapter,AC-M412W
18208,003-001-0184,SMC Combo Modular AC30-NO3DG-3Z,SMC Combo Modular AC30-NO3DG-3Z,3,,SMC,Combo Modular,AC30-NO3DG-3Z
22647,039-003-1783,SMC ACNL-X2-63X90-FA-M Cylinder,SMC Cylinder ACNL-X2-63X90-FA-M,12,,SMC,Cylinder,ACNL-X2-63X90-FA-M
18201,002-007-0236,Toyo-oki AK02002,Toyooki Solenoid Valve AK-02002,3,,Toyooki,Solenoid Valve,AK-02002
18111,005-026-0019,Matsushita ANB845NL,Pentax Lens ANB845NL,1,,Pentax,Lens,ANB845NL
1378,005-026-0018,Matsushita ANM830CE Camera,NAiS Camera ANM830CE,3,,NAiS,Camera,ANM830CE
18101,008-006-0021,Fuji Electric Selector Switch AR30PR-322B,Fuji Electric Switch AR30PR-322B,1,,Fuji Electric,Switch,AR30PR-322B
13830,003-001-0076,SMC AR925-20,SMC Regulator AR925-20,12,,SMC,Regulator,AR925-20
18127,003-006-0006,SMC AS2201F-02-04S,SMC Speed Control Valve AS2201F-02-04S,1,,SMC,Speed Control Valve,AS2201F-02-04S
13814,014-007-0030,NTN ASPFL206 Pillow Block,NTN Pillow Block ASPFL206,3,,NTN,Pillow Block,ASPFL206
22658,022-012-0308,Azbil AUD300C1000 Flame Detector,Azbil Flame Detector AUD300C1000,5,,Azbil,Flame Detector,AUD300C1000
18149,003-015-0108,Swagelok B-810-3TMT,Swagelok Brass Male Run Tee B-810-3TMT,2,,Swagelok,Brass Male Run Tee,B-810-3TMT
39312,013-002-0084,ContTech B47 Belt,ContTech Belt B47,1,,ContTech,Belt,B47
16888,014-011-0460,THK BNK1402-3RRG0+166LC3Y Ball Screw,THK Ball Screw BNK1402-3RRG0+166LC3Y,4,,THK,Ball Screw,BNK1402-3RRG0+166LC3Y
39314,013-007-0030,Bestorq BX47 Belt,Bestorq Belt BX47,1,,Bestorq,Belt,BX47
39311,013-002-0188,BX49 Belt,Torque Flex Belt BX49,1,,Torque Flex,Belt,BX49
18130,003-028-0008,SMC C1A63-02-46683AS,SMC Rod Cover C1A63-02-46683AS,2,,SMC,Rod Cover,C1A63-02-46683AS
39217,019-001-0355,Leeson C42P17FZ1B Motor,Leeson Motor C42P17FZ1B,29,,Leeson,Motor,C42P17FZ1B
16909,022-012-0001,Honeywell C7027A Sensor,Honeywell Minipeeper Ultraviolet Flame Detector C7027A,3,,Honeywell,Minipeeper Ultraviolet Flame Detector,C7027A
1234,005-004-0292,Teli CA130D-01 Camera Adapter,Teli Camera Adapter CA130D-01,4,,Teli,Camera Adapter,CA130D-01
1313,002-008-0006,SMC CC100-200L12-5D,SMC Air-Hydro Unit CC100-200L12-5D,9,,SMC,Air-Hydro Unit,CC100-200L12-5D
18131,039-003-0900,SMC CDA2L63-380-K59L,SMC Cylinder CDA2L63-380-K59L,12,,SMC,Cylinder,CDA2L63-380-K59L
17413,039-003-0340,SMC CDJP2B16-20D,SMC Air Cylinder CDJP2B16-20D,4,,SMC,Air Cylinder,CDJP2B16-20D
39240,039-003-1334,SMC CDM2B25-350-X142US Cylinder,SMC Cylinder CDM2B25-350-X142US,1,,SMC,Cylinder,CDM2B25-350-X142US
16595,039-003-1684,Yaskawa CDPXWL32-50,SMC Cylinder CDPXWL32-50,8,,SMC,Cylinder,CDPXWL32-50
17414,039-003-0828,SMC CDQ2B25-10DCZ,SMC Compact Cylinder CDQ2B25-10DCZ,3,,SMC,Compact Cylinder,CDQ2B25-10DCZ
17417,039-003-3515,SMC CDQ2B32-60DCMZ-XB10,SMC Compact Cylinder CDQ2B32-60DCMZ-XB,4,,SMC,Compact Cylinder,CDQ2B32-60DCMZ-XB
39332,039-093-0338,SMC CDQ2B63-10DMZ Cylinder,SMC Cylinder CDQ2B63-10DMZ-M9BL,1,,SMC,Cylinder,CDQ2B63-10DMZ-M9BL
39241,039-003-0020,SMC CDQ2B80-20DZ Cylinder,SMC CQ2 Compact Cylinder CDQ2B80-20DZ,1,,SMC,CQ2 Compact Cylinder,CDQ2B80-20DZ
39239,039-003-1544,SMC CDQ2B80-50DMZ Cylinder,SMC Cylinder CDQ2B80-50DMZ,1,,SMC,Cylinder,CDQ2B80-50DMZ
17396,003-030-0038,SMC CDRB1BW30-1000-T79,SMC Actuator CDRB1BW30-1000-T79L,2,,SMC,Actuator,CDRB1BW30-1000-T79L
18193,003-030-0058,SMC CDRQB40,SMC Rotary Actuator CDRQB40,6,,SMC,Rotary Actuator,CDRQB40
39247,039-003-0005,SMC CDU25-15D Cylinder,SMC CU Compact Cylinder CDU25-15D,1,,SMC,CU Compact Cylinder,CDU25-15D
19509,039-003-1693,SMC CEIF40-400-M9BVLS Cylinder,SMC Cylinder CEIF40-400-M9BVLS,10,,SMC,Cylinder,CEIF40-400-M9BVLS
13838,005-026-0015,Toshiba Camera CS8310B,Toshiba CCD Camera CS8310Bi,3,,Toshiba,CCD Camera,CS8310Bi
18109,008-002-0122,Koganei CS9HA,Koganei Auto Switch CS9HA,1,,Koganei,Auto Switch,CS9HA
37685,236-505-0018,Harmonic Drive CSF-25-50-2UH,Harmonic DriveCSF-25-50-2UH,4,,Harmonic Drive,-,CSF-25-50-2UH
22645,039-003-1243,SMC CXSL25-80-Y59BL Cylinder,SMC Dual Rod Cylinder CXSL25-80-Y59BL,4,,SMC,Dual Rod Cylinder,CXSL25-80-Y59BL
13827,039-003-1607,SMC CXSM20-40-Y59BL Cylinder,SMC Guided Cylinder CXSM20-40,3,,SMC,Guided Cylinder,CXSM20-40
13799,068-731-0002,Daishin D-300 Torch,Daishin Torch D-300,4,,Daishin,Torch,D-300
22652,MFG-000-1842,D4GS-N4R-3 Switch,Omron Switch D4GS-N4R-3,3,,Omron,Switch,D4GS-N4R-3
13831,005-026-0041,Sony DC-700 Camera Adapter,Sony Camera Adapter DC-700,4,,Sony,Camera Adapter,DC-700
22659,054-001-0040,Sony DG10BS Digital Gauge,Sony Magnescale Probe DG10BS,4,,Sony,Magnescale Probe,DG10BS
13815,022-011-0179,E2E-X3T1-1 Switch,Omron Switch E2E-X3T1-1,2,,Omron,Switch,E2E-X3T1-1
16916,022-011-0240,E2J-JC4A Switch,Omron Switch E2J-JC4A,2,,Omron,Switch,E2J-JC4A
18188,008-005-0028,Omron Photoelectric Switch E3E23L,Omron Photoelectric Switch E3E2-3L,2,,Omron,Photoelectric Switch,E3E2-3L
18117,008-005-0075,Omron Photoelectric Switch E3S-2E41,Omron Photoelectric Switch E3S-2E41,1,,Omron,Photoelectric Switch,E3S-2E41
18118,008-005-0011,Omron Photoelectric Switch E3S-5DE4,Omron Photoelectric Switch E3S-5E4,2,,Omron,Photoelectric Switch,E3S-5E4
16575,MFG-000-1459,ASCO EF8262G2 Valve,ASCO Valve EF8262G2,2,,ASCO,Valve,EF8262G2
16584,MFG-000-1466,ASCO EF8345G1 Valve,ASCO Valve EF8345G1,2,,ASCO,Valve,EF8345G1
1307,005-012-0030,Nikon RD2048 Rotary Encoder,Nikon Rotary Encoder EJA03204/RD2048,4,,Nikon,Rotary Encoder,EJA03204/RD2048
39211,019-001-0882,Baldor EM3313T Motor,Baldor Motor EM3313T,120,,Baldor,Motor,EM3313T
16596,031-001-0803,Estic ENRZ-AU40-10 Control Unit,Estic Control Unit ENRZ-AU40-10,12,,Estic,Control Unit,ENRZ-AU40-10
18167,005-004-0281,Etek Dias EP182,Etek Dias Power Supply EP182,2,,Etek Dias,Power Supply,EP182
18198,002-013-0076,Tokyo Keiki EPFRGH0235011S23,Tokyo Keiki Flow Control Valve EPFRG-H02-350-11-S23,35,,Tokyo Keiki,Flow Control Valve,EPFRG-H02-350-11-S23
37676,003-001-0282,Filter ESD-60-5-10M,Allen-Bradley Filter ESD-60-5-10M*,,,Allen-Bradley,Filter,ESD-60-5-10M*
18196,005-003-0042,Sunao ET100PC,Sunao Calendar-Timer ET100PC,5,,Sunao,Calendar-Timer,ET100PC
16912,022-012-0296,Keyence EX-205,Keyence Inductive Guaging Sensor EX-200,2,,Keyence,Inductive Guaging Sensor,EX-200
16569,MFG-000-1453,Honeywell FE-MLS5RB Control,Honeywell Photoelectric Sensor FE-MLS5RB,2,,Honeywell,Photoelectric Sensor,FE-MLS5RB
18094,003-001-0057,Coilhose Pneumatics FRL1400,Coilhose Pneumatics Lubricator FRL1400,6,,Coilhose Pneumatics,Lubricator,FRL1400
39218,219-004-0011,Servo Motor GRK2200K-T,Fuji Electric ES Motor GRK2200K-T,,,Fuji Electric,ES Motor,GRK2200K-T
13813,014-005-0106,Nippon GS3052,Nippon Washer GS3052,1,,Nippon,Washer,GS3052
18171,005-003-0012,IDEC GT5Y4SN,IDEC Electronic Timer GT5Y-4SN,2,,IDEC,Electronic Timer,GT5Y-4SN
13800,014-013-0023,GVFTD1 Bearing,Fafnir Bearing GVFTD1,3,,Fafnir,Bearing,GVFTD1
39230,MFG-000-2010,X272 Rear Blower Harness H-532,Harness H-532 X272,1,,-,Harness,H-532 X272
39229,MFG-000-2009,X272/X222 Auto Harness H-532,Harness H-532 X272/X222,1,,-,Harness,H-532 X272/X222
39223,463-532-0024,Tz3 Ext Harness H-532-TZ3,Harness H-532-TZ3,1,,-,Harness,H-532-TZ3
18119,005-003-0027,Omron Timer H3CR-H8L,Omron Timer H3CR-H8L,1,,Omron,Timer,H3CR-H8L
39216,019-004-0155,Mitsubishi HA-FF43B Motor,Mitsubishi Motor HA-FF43B,8,,Mitsubishi,Motor,HA-FF43B
39215,019-001-0562,Servo Motor HA-SA152LY,Tamagawa Seiki Servo Motor HA-SA152LY,,,Tamagawa Seiki,Servo Motor,HA-SA152LY
39214,019-001-0563,Mitsubishi HA-SA52 Motor,Mitsubishi Motor HA-SA52,10,,Mitsubishi,Motor,HA-SA52
16884,013-003-0269,HAT8P Conveyor Belt,Habasit Conveyor Belt HATP-8P 30MMx370MM,2,,Habasit,Conveyor Belt,HATP-8P 30MMx370MM
16885,013-003-0829,HATP8P Conveyor Belt,Habasit Conveyor Belt HATP-8P 30MMx370MM,2,,Habasit,Conveyor Belt,HATP-8P 30MMx370MM
18154,002-014-0010,Toyo-oki HD3-2WD-BCA-025A-LYD2,Toyooki Solenoid Valve HD3-2WD-BCA-025A-LYD,6,,Toyooki,Solenoid Valve,HD3-2WD-BCA-025A-LYD
18202,002-014-0021,Toyo-oki HD32WDBCA03ALYD2,Toyooki Solenoid Valve HD3-2WD-BcA-03A-LYD,10,,Toyooki,Solenoid Valve,HD3-2WD-BcA-03A-LYD
13839,002-014-0008,Toyo-oki HDE-3W-BGA-025B-WYD2 Valve,Toyooki Valve HD3-3W-BGA-025B-WYD2,8,,Toyooki,Valve,HD3-3W-BGA-025B-WYD2
18151,014-004-0268,THK HSR15B1SS,THKHSR15B1SS,2,,THK,-,HSR15B1SS
18197,014-004-0376,THK HSR15B2SS+210L,THK Linear Bearing HSR15B2SS+210L,3,,THK,Linear Bearing,HSR15B2SS+210L
39232,014-004-744,THK HSR25LR1SS Linear Guide Block,THK Linear Guide Block HSR25LR1SS(GK),2,,THK,Linear Guide Block,HSR25LR1SS(GK)
13840,002-014-0128,Toyo-oki Valve Switch HW3H-B11S-025B-DC,Toyooki Valve HW3H-B11S-025B-DC,5,,Toyooki,Valve,HW3H-B11S-025B-DC
39336,039-004-0026,Repair Kit HYP505H Assembly B,Repair Kit HYP505H,1,,-,Repair Kit,HYP505H
17410,022-011-0276,IFM IF5863,IFM Inductive Sensor IF5863,2,,IFM,Inductive Sensor,IF5863
18192,008-003-0145,SMC IS3000-N02L5,SMC Pressure Switch IS3000-N02L5,3,,SMC,Pressure Switch,IS3000-N02L5
16904,008-003-0209,SMC ISE30A-01-P-MLA1 Switch,SMC Digital Pressure Switch ISE30A-01-P-MLA1,2,,SMC,Digital Pressure Switch,ISE30A-01-P-MLA1
22845,022-012-0490,Keyence IV-500CA Sensor,Keyence Vision Sensor IV-500CA,3,,Keyence,Vision Sensor,IV-500CA
17409,022-011-0259,IFM IW5058,IFM Proximity Switch IW5058,2,,IFM,Proximity Switch,IW5058
18110,004-001-0126,Marsh Bellofram J6218,"Marsh Bellofram Gauge J6218 30""",2,,Marsh Bellofram,Gauge,"J6218 30"""
18132,003-003-0224,SMC JAF63-18-150,SMC Floating Joint JAF63-18-150,3,,SMC,Floating Joint,JAF63-18-150
18174,008-003-0072,Kosmek JB2800-M0,Kosmek Pressure Switch JB2800-M0,3,,Kosmek,Pressure Switch,JB2800-M0
17395,003-003-0028,SMC JB63-10-150,SMC Floating Joint JB63-10-150,2,,SMC,Floating Joint,JB63-10-150
18155,005-005-0483,Yaskawa JEPMC-MB210,Yaskawa Power Supply Mount JEPMC-MB210,3,,Yaskawa,Power Supply Mount,JEPMC-MB210
1551,MFG-000-0112,Yaskawa JRMSP-120XCP96000,Yaskawa PLC Module JRMSP-120XCP96000,6,,Yaskawa,PLC Module,JRMSP-120XCP96000
37678,205-005-0491,Yaskawa JUSP-NS600,Yaskawa Servopack JUSP-NS600,1,,Yaskawa,Servopack,JUSP-NS600
16877,003-030-0062,THK KR45H10AE840LH3E11,THK LM Guide Actuator KR45H,35,,THK,LM Guide Actuator,KR45H
18135,002-039-0118,SMC KT-PA3-32,SMC Repair Kit KT-PA3-32,1,,SMC,Repair Kit,KT-PA3-32
18136,002-039-0117,SMC KT-PA3-36,SMC Repair Kit KT-PA3-36,1,,SMC,Repair Kit,KT-PA3-36
18138,003-007-0048,SMC KTAR6000,SMC Diaphragm Assy KTAR6000,1,,SMC,Diaphragm Assy,KTAR6000
39221,014-018-0012,THK LBS30UU+975,THK Ball Spline LBS30UU+975 845LE,6,,THK,Ball Spline,LBS30UU+975 845LE
18095,005-004-0263,Cosel LCA10S-24,Cosel Power Supply LCA10S-24,2,,Cosel,Power Supply,LCA10S-24
13782,014-004-0634,ASK LCF20AVUU Bushing,ASK Bushing LCF20AVUU,3,,ASK,Bushing,LCF20AVUU
39212,216-001-0090,Dodge Gear Reducer LP90M0215111,Dodge Gear Reducer LP90M0215111,1,,Dodge,Gear Reducer,LP90M0215111
16889,014-004-0699,IKO LRXDG20C1-T1HS2 Linear BRG,IKO Linear Bearing LRXDG20C1-T1HS2,2,,IKO,Linear Bearing,LRXDG20C1-T1HS2
16890,014-004-0574,IKO LRXDG20C1R200+T1HE Linear BRG,IKO Linear Bearing LRXDG20C1R200+T1HE,2,,IKO,Linear Bearing,LRXDG20C1R200+T1HE
18103,008-015-0009,GEMS Level Switch 19735,GEMS Level Switch LS-19735,1,,GEMS,Level Switch,LS-19735
1606,MFG-000-0129,VAC Switch,GEMS Level Switch LS-19735,1,,GEMS,Level Switch,LS-19735
16906,022-012-0307,LX12ESRQ Light Sensor,Banner Light Sensor LX12ESRQ,4,,Banner,Light Sensor,LX12ESRQ
16907,022-012-0306,Banner Light Sensor LX12RSRQ,Banner Light Sensor LX12RSRQ,4,,Banner,Light Sensor,LX12RSRQ
22660,061-001-0305,KHK M-1122887-021 Gear,KHK Gear M-1122887-021,7,,KHK,Gear,M-1122887-021
39354,061-001-0306,Gear M-1122887-061,KHK Gear M-1122887-061,1,,KHK,Gear,M-1122887-061
39346,061-001-0304,Gear M-11228887-011,KHK Gear M-11228887-011,1,,KHK,Gear,M-11228887-011
39326,056-001-0253,Ametric Pulley M-2011593-350,Ametric Pulley M-2011593-350,1,,Ametric,Pulley,M-2011593-350
39213,019-001-0402,Baldor M2513T Motor,Baldor Motor M2513T,156,,Baldor,Motor,M2513T
16905,051-001-0093,CEC MA-459 Shock Absorber,CEC Shock Absorber MA-459,2,,CEC,Shock Absorber,MA-459
18139,039-003-0461,SMC MCN2-40X100-FA,SMC Cylinder MCN2-40X100-FA,5,,SMC,Cylinder,MCN2-40X100-FA
39249,036-615-0003,SMC Robot Chuck MDHR-30R-MSBVL,SMC Gripper MDHR2-30R,1,,SMC,Gripper,MDHR2-30R
1353,005-005-0189,Mitsubishi A1SD70,Mitsubishi Module MELSEC A1SD70,4,,Mitsubishi,Module,MELSEC A1SD70
1374,005-005-0187,Mitsubishi A1SX42-S2 Module,Mitsubishi Module MELSEC A1SX42-S2,4,,Mitsubishi,Module,MELSEC A1SX42-S2
1329,005-005-0144,Mitsubishi AY51C Module,Mitsubishi Module MELSEC AY51C,3,,Mitsubishi,Module,MELSEC AY51C
22644,039-003-1076,SMC MGPM25R-60Z Cylinder,SMC Compact Guide Cylinder MGPM25R-60Z,6,,SMC,Compact Guide Cylinder,MGPM25R-60Z
39245,039-003-1029,SMC MHKL2-25D Gripper,SMC Gripper MHKL2-25D-M9BVLS,1,,SMC,Gripper,MHKL2-25D-M9BVLS
39238,039-003-1009,SMC MHKL2-25D Gripper,SMC Gripper MHKL2-25D-M9BVLS,1,,SMC,Gripper,MHKL2-25D-M9BVLS
39345,076-910-0035,MJC-57-19X24-TB Coupling,Coupling MJC-57-19X24-TB,1,,-,Coupling,MJC-57-19X24-TB
39331,013-001-0458,Timing Belt MRA1 YOU,Belt MRA1 YOU,1,,-,Belt,MRA1 YOU
1391,005-004-0282,Keyence MS-H50 Switch,Keyence Power Supply MS-H50,2,,Keyence,Power Supply,MS-H50
16873,022-012-0325,Banner MSE3224,Banner Screen Light MSE3224,4,,Banner,Screen Light,MSE3224
17416,039-003-1609,SMC MXS12L-20-M9BL,SMC Guided Cylinder MXS12L-20-M9BL,5,,SMC,Guided Cylinder,MXS12L-20-M9BL
17394,003-001-0259,SMC NARB250-N0-P-1,SMC Interface Regulator NARB250-N0-P-1,5,,SMC,Interface Regulator,NARB250-N0-P-1
13828,039-003-3511,SMC NCMB075-0300,SMC Stainless Steel Cylinder NCMB075-0300,2,,SMC,Stainless Steel Cylinder,NCMB075-0300
13825,039-003-1532,SMC NCQ2D63-35DM,SMC Cylinder NCQ2D63-35DM,5,,SMC,Cylinder,NCQ2D63-35DM
22766,MFG-000-1864,NSJ5-SQ00-M3D Control,Omron Control NSJ5-SQ00-M3D,5,,Omron,Control,NSJ5-SQ00-M3D
22640,031-001-0840,RTA NWRE Control,RTA Interface Converter NWRE,2,,RTA,Interface Converter,NWRE
22669,022-063-0017,Nemicon MR-HDP01 Generator,Nemicon Generator OVM-0025-2AZ1-34E,3,,Nemicon,Generator,OVM-0025-2AZ1-34E
37679,005-001-0007,P1DA Board,Board P1DA,,,-,Board,P1DA
13823,014-007-0060,Rexnord P3-U215N Bearing,Rexnord Link-Belt Bearing P3-U215N,4,,Rexnord,Link-Belt Bearing,P3-U215N
22732,022-011-0250,Fuji Electric PEW-34L/N Proximity Switch,Fuji Electric Proximity Switch PEW-34L/N,3,,Fuji Electric,Proximity Switch,PEW-34L/N
16915,022-012-0230,Keyence PJ-V22,Keyence Safety Light Curtain PJ-V22R | PJ-V22T,5,,Keyence,Safety Light Curtain,PJ-V22R | PJ-V22T
22604,022-046-0003,Sylvania QTP2X32T8/UNVISNSCB,Sylvania Fluorescent Lamp Ballast QTP2x32T8/UNV ISN-SC,3,,Sylvania,Fluorescent Lamp Ballast,QTP2x32T8/UNV ISN-SC
17412,022-038-1061,Turck R5C12T-5,Turck Cable/Cord R5C12T-5,2,,Turck,Cable/Cord,R5C12T-5
17402,015-001-0276,Tsubaki RF2050VRP-A-148,Tsubaki Chain RF2050VRP-A-148,25,,Tsubaki,Chain,RF2050VRP-A-148
17415,039-003-1054,SMC RSDQA40-20TK,SMC Cylinder RSDQA40-20TK,5,,SMC,Cylinder,RSDQA40-20TK
13826,039-003-1528,SMC RSDQA50-30T-XC18,SMC Cylinder RSDQA50-30T-XC18,5,,SMC,Cylinder,RSDQA50-30T-XC18
22639,031-001-0659,Fuji Electric Servo Control RYE.10S,Fuji Electric Controllers RYE.10S,6,,Fuji Electric,Controllers,RYE.10S
45232,031-001-0658,Fuji Electric Digital ES Controller RYE.20D,Fuji Electric Controllers RYE.20D,4,,Fuji Electric,Controllers,RYE.20D
39320,231-001-0588,Fuji Electric RYE.40D Control,Fuji Electric Controller RYE.40D,3,,Fuji Electric,Controller,RYE.40D
22638,031-001-0588,Fuji Electric RYE.40D Control,Fuji Electric Controller RYE.40D,7,,Fuji Electric,Controller,RYE.40D
16914,022-001-0751,Fuji Electric SA53C/15,Fuji Electric Breaker SA53C/15,3,,Fuji Electric,Breaker,SA53C/15
16892,022-012-0371,IFM Efector SD6101,IFM Flow Monitor SD6101,2,,IFM,Flow Monitor,SD6101
